Date/time, year, month, day, hour, minute, seconds, decimal year, Temp, units

7/20/19 10:44:00 AM, 2019, 7, 20, 10, 44, 0, 2019.5491704718418, 19.0, C
7/20/19 2:59:00 PM, 2019, 7, 20, 14, 59, 0, 2019.549655631659, 19.0, C
7/20/19 7:14:00 PM, 2019, 7, 20, 19, 14, 0, 2019.5501407914765, 21.0, C
7/20/19 11:29:00 PM, 2019, 7, 20, 23, 29, 0, 2019.5506259512938, 20.5, C
7/21/19 3:44:00 AM, 2019, 7, 21, 3, 44, 0, 2019.5511111111111, 20.5, C
7/21/19 7:59:00 AM, 2019, 7, 21, 7, 59, 0, 2019.5515962709285, 20.5, C
7/21/19 12:14:00 PM, 2019, 7, 21, 12, 14, 0, 2019.5520814307458, 23.0, C
7/21/19 4:29:00 PM, 2019, 7, 21, 16, 29, 0, 2019.5525665905632, 30.5, C
7/21/19 8:44:00 PM, 2019, 7, 21, 20, 44, 0, 2019.5530517503805, 19.0, C
7/22/19 12:59:00 AM, 2019, 7, 22, 0, 59, 0, 2019.5535369101979, 12.5, C
7/22/19 5:14:00 AM, 2019, 7, 22, 5, 14, 0, 2019.5540220700152, 10.5, C
7/22/19 9:29:00 AM, 2019, 7, 22, 9, 29, 0, 2019.5545072298326, 20.0, C
7/22/19 1:44:00 PM, 2019, 7, 22, 13, 44, 0, 2019.55499238965, 22.0, C
7/22/19 5:59:00 PM, 2019, 7, 22, 17, 59, 0, 2019.5554775494672, 15.5, C
7/22/19 10:14:00 PM, 2019, 7, 22, 22, 14, 0, 2019.5559627092846, 12.5, C
7/23/19 2:29:00 AM, 2019, 7, 23, 2, 29, 0, 2019.556447869102, 11.0, C
7/23/19 6:44:00 AM, 2019, 7, 23, 6, 44, 0, 2019.5569330289193, 10.0, C
7/23/19 10:59:00 AM, 2019, 7, 23, 10, 59, 0, 2019.5574181887366, 18.0, C
7/23/19 3:14:00 PM, 2019, 7, 23, 15, 14, 0, 2019.557903348554, 19.5, C
7/23/19 7:29:00 PM, 2019, 7, 23, 19, 29, 0, 2019.5583885083713, 15.5, C
7/23/19 11:44:00 PM, 2019, 7, 23, 23, 44, 0, 2019.5588736681887, 13.0, C
7/24/19 3:59:00 AM, 2019, 7, 24, 3, 59, 0, 2019.559358828006, 10.5, C
7/24/19 8:14:00 AM, 2019, 7, 24, 8, 14, 0, 2019.5598439878233, 10.0, C
7/24/19 12:29:00 PM, 2019, 7, 24, 12, 29, 0, 2019.5603291476407, 11.0, C
7/24/19 4:44:00 PM, 2019, 7, 24, 16, 44, 0, 2019.560814307458, 11.0, C
7/24/19 8:59:00 PM, 2019, 7, 24, 20, 59, 0, 2019.5612994672756, 10.5, C
7/25/19 1:14:00 AM, 2019, 7, 25, 1, 14, 0, 2019.561784627093, 9.0, C
7/25/19 5:29:00 AM, 2019, 7, 25, 5, 29, 0, 2019.5622697869103, 8.0, C
7/25/19 9:44:00 AM, 2019, 7, 25, 9, 44, 0, 2019.5627549467276, 13.5, C
7/25/19 1:59:00 PM, 2019, 7, 25, 13, 59, 0, 2019.563240106545, 22.0, C
7/25/19 6:14:00 PM, 2019, 7, 25, 18, 14, 0, 2019.5637252663623, 14.5, C
7/25/19 10:29:00 PM, 2019, 7, 25, 22, 29, 0, 2019.5642104261797, 12.5, C
7/26/19 2:44:00 AM, 2019, 7, 26, 2, 44, 0, 2019.564695585997, 11.0, C
7/26/19 6:59:00 AM, 2019, 7, 26, 6, 59, 0, 2019.5651807458144, 10.5, C
7/26/19 11:14:00 AM, 2019, 7, 26, 11, 14, 0, 2019.5656659056317, 19.5, C
