1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 250000005691A021
Is Mission Active?  false
Mission Start:  Sun Jul 18 17:53:00 CEST 2021
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2074
Total Samples:  2074
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/18/21, 5:53:00 PM,C,21.5
7/18/21, 10:08:00 PM,C,21.5
7/19/21, 2:23:00 AM,C,21
7/19/21, 6:38:00 AM,C,21.5
7/19/21, 10:53:00 AM,C,24.5
7/19/21, 3:08:00 PM,C,33
7/19/21, 7:23:00 PM,C,33.5
7/19/21, 11:38:00 PM,C,20
7/20/21, 3:53:00 AM,C,14.5
7/20/21, 8:08:00 AM,C,11.5
7/20/21, 12:23:00 PM,C,19
7/20/21, 4:38:00 PM,C,18
7/20/21, 8:53:00 PM,C,11.5
7/21/21, 1:08:00 AM,C,7.5
7/21/21, 5:23:00 AM,C,7
7/21/21, 9:38:00 AM,C,9.5
7/21/21, 1:53:00 PM,C,13
7/21/21, 6:08:00 PM,C,12.5
7/21/21, 10:23:00 PM,C,7
7/22/21, 2:38:00 AM,C,5
7/22/21, 6:53:00 AM,C,4
7/22/21, 11:08:00 AM,C,15.5
7/22/21, 3:23:00 PM,C,15.5
7/22/21, 7:38:00 PM,C,14.5
7/22/21, 11:53:00 PM,C,7
7/23/21, 4:08:00 AM,C,5.5
7/23/21, 8:23:00 AM,C,1
7/23/21, 12:38:00 PM,C,6.5
7/23/21, 4:53:00 PM,C,14.5
7/23/21, 9:08:00 PM,C,3.5
7/24/21, 1:23:00 AM,C,3
7/24/21, 5:38:00 AM,C,2.5
7/24/21, 9:53:00 AM,C,4.5
7/24/21, 2:08:00 PM,C,11
7/24/21, 6:23:00 PM,C,15
7/24/21, 10:38:00 PM,C,4
7/25/21, 2:53:00 AM,C,3
7/25/21, 7:08:00 AM,C,3.5
7/25/21, 11:23:00 AM,C,5.5
7/25/21, 3:38:00 PM,C,12.5
7/25/21, 7:53:00 PM,C,12
7/26/21, 12:08:00 AM,C,2.5
7/26/21, 4:23:00 AM,C,2.5
7/26/21, 8:38:00 AM,C,3.5
7/26/21, 12:53:00 PM,C,8.5
7/26/21, 5:08:00 PM,C,14.5
7/26/21, 9:23:00 PM,C,3.5
7/27/21, 1:38:00 AM,C,3.5
7/27/21, 5:53:00 AM,C,4
7/27/21, 10:08:00 AM,C,5.5
7/27/21, 2:23:00 PM,C,14
7/27/21, 6:38:00 PM,C,25
7/27/21, 10:53:00 PM,C,5.5
7/28/21, 3:08:00 AM,C,4
7/28/21, 7:23:00 AM,C,3.5
7/28/21, 11:38:00 AM,C,9
7/28/21, 3:53:00 PM,C,29
7/28/21, 8:08:00 PM,C,15
7/29/21, 12:23:00 AM,C,5
7/29/21, 4:38:00 AM,C,4
7/29/21, 8:53:00 AM,C,6
7/29/21, 1:08:00 PM,C,19.5
7/29/21, 5:23:00 PM,C,31.5
7/29/21, 9:38:00 PM,C,7
7/30/21, 1:53:00 AM,C,5.5
7/30/21, 6:08:00 AM,C,6.5
7/30/21, 10:23:00 AM,C,7.5
7/30/21, 2:38:00 PM,C,15.5
7/30/21, 6:53:00 PM,C,19
7/30/21, 11:08:00 PM,C,10
7/31/21, 3:23:00 AM,C,9
7/31/21, 7:38:00 AM,C,10.5
7/31/21, 11:53:00 AM,C,14.5
7/31/21, 4:08:00 PM,C,12.5
7/31/21, 8:23:00 PM,C,8
8/1/21, 12:38:00 AM,C,7.5
8/1/21, 4:53:00 AM,C,5.5
