Washington (PST) SNOTEL Site Elbow Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 26 11:27:25 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.,,,
,,,
Site Id,Date,Time,SNWD.I-1 (in) 
910,1/1/2021,,55
910,1/2/2021,,50
910,1/3/2021,,53
910,1/4/2021,,55
910,1/5/2021,,61
910,1/6/2021,,65
910,1/7/2021,,65
910,1/8/2021,,64
910,1/9/2021,,61
910,1/10/2021,,61
910,1/11/2021,,63
910,1/12/2021,,63
910,1/13/2021,,57
910,1/14/2021,,59
910,1/15/2021,,59
910,1/16/2021,,58
910,1/17/2021,,56
910,1/18/2021,,60
910,1/19/2021,,60
910,1/20/2021,,60
910,1/21/2021,,60
910,1/22/2021,,59
910,1/23/2021,,59
910,1/24/2021,,59
910,1/25/2021,,61
910,1/26/2021,,62
910,1/27/2021,,65
910,1/28/2021,,64
910,1/29/2021,,68
910,1/30/2021,,68
910,1/31/2021,,73
910,2/1/2021,,71
910,2/2/2021,,71
910,2/3/2021,,76
910,2/4/2021,,74
910,2/5/2021,,86
910,2/6/2021,,84
910,2/7/2021,,91
910,2/8/2021,,89
910,2/9/2021,,86
910,2/10/2021,,87
910,2/11/2021,,86
910,2/12/2021,,86
910,2/13/2021,,87
910,2/14/2021,,103
910,2/15/2021,,103
910,2/16/2021,,107
910,2/17/2021,,106
910,2/18/2021,,103
910,2/19/2021,,109
910,2/20/2021,,110
910,2/21/2021,,115
910,2/22/2021,,115
910,2/23/2021,,110
910,2/24/2021,,111
910,2/25/2021,,108
910,2/26/2021,,124
910,2/27/2021,,126
910,2/28/2021,,126
910,3/1/2021,,124
910,3/2/2021,,121
910,3/3/2021,,118
910,3/4/2021,,117
910,3/5/2021,,115
910,3/6/2021,,112
910,3/7/2021,,111
910,3/8/2021,,114
910,3/9/2021,,112
910,3/10/2021,,110
910,3/11/2021,,110
910,3/12/2021,,109
910,3/13/2021,,108
910,3/14/2021,,107
910,3/15/2021,,108
910,3/16/2021,,107
910,3/17/2021,,107
910,3/18/2021,,106
910,3/19/2021,,106
910,3/20/2021,,106
910,3/21/2021,,110
910,3/22/2021,,119
910,3/23/2021,,118
910,3/24/2021,,116
910,3/25/2021,,123
910,3/26/2021,,118
910,3/27/2021,,117
910,3/28/2021,,114
910,3/29/2021,,123
910,3/30/2021,,120
910,3/31/2021,,119
910,4/1/2021,,115
910,4/2/2021,,113
910,4/3/2021,,112
910,4/4/2021,,111
910,4/5/2021,,110
910,4/6/2021,,109
910,4/7/2021,,108
910,4/8/2021,,116
910,4/9/2021,,115
910,4/10/2021,,118
910,4/11/2021,,118
910,4/12/2021,,115
910,4/13/2021,,112
910,4/14/2021,,110
910,4/15/2021,,108
910,4/16/2021,,105
910,4/17/2021,,102
910,4/18/2021,,100
910,4/19/2021,,97
910,4/20/2021,,94
910,4/21/2021,,92
910,4/22/2021,,89
910,4/23/2021,,87
910,4/24/2021,,86
910,4/25/2021,,85
910,4/26/2021,,84
910,4/27/2021,,83
910,4/28/2021,,82
910,4/29/2021,,80
910,4/30/2021,,77
910,5/1/2021,,75
910,5/2/2021,,75
910,5/3/2021,,74
910,5/4/2021,,72
910,5/5/2021,,71
910,5/6/2021,,69
910,5/7/2021,,68
910,5/8/2021,,68
910,5/9/2021,,67
910,5/10/2021,,66
910,5/11/2021,,65
910,5/12/2021,,62
910,5/13/2021,,61
910,5/14/2021,,57
910,5/15/2021,,55
910,5/16/2021,,51
910,5/17/2021,,47
910,5/18/2021,,46
910,5/19/2021,,46
910,5/20/2021,,44
910,5/21/2021,,42
910,5/22/2021,,39
910,5/23/2021,,36
910,5/24/2021,,34
910,5/25/2021,,33
910,5/26/2021,,30
910,5/27/2021,,28
910,5/28/2021,,27
910,5/29/2021,,24
910,5/30/2021,,22
910,5/31/2021,,18
910,6/1/2021,,14
910,6/2/2021,,8
910,6/3/2021,,4
910,6/4/2021,,2
910,6/5/2021,,0
910,6/6/2021,,0
910,6/7/2021,,0
910,6/8/2021,,0
910,6/9/2021,,0
910,6/10/2021,,0
910,6/11/2021,,0
910,6/12/2021,,0
910,6/13/2021,,0
910,6/14/2021,,0
910,6/15/2021,,0
910,6/16/2021,,0
910,6/17/2021,,0
910,6/18/2021,,0
910,6/19/2021,,0
910,6/20/2021,,0
910,6/21/2021,,0
910,6/22/2021,,0
910,6/23/2021,,0
910,6/24/2021,,0
910,6/25/2021,,0
910,6/26/2021,,0
910,6/27/2021,,0
910,6/28/2021,,0
910,6/29/2021,,0
910,6/30/2021,,0
910,7/1/2021,,0
910,7/2/2021,,0
910,7/3/2021,,0
910,7/4/2021,,0
910,7/5/2021,,0
910,7/6/2021,,0
910,7/7/2021,,0
910,7/8/2021,,0
910,7/9/2021,,0
910,7/10/2021,,0
910,7/11/2021,,0
910,7/12/2021,,0
910,7/13/2021,,0
910,7/14/2021,,0
910,7/15/2021,,0
910,7/16/2021,,0
910,7/17/2021,,0
910,7/18/2021,,0
910,7/19/2021,,0
910,7/20/2021,,0
910,7/21/2021,,0
910,7/22/2021,,0
910,7/23/2021,,0
910,7/24/2021,,0
