Washington (PST) SNOTEL Site Elbow Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Jul 27 11:37:54 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.,,,
,,,
Site Id,Date,Time,SNWD.I-1 (in) 
910,1/1/2023,,38
910,1/2/2023,,38
910,1/3/2023,,37
910,1/4/2023,,37
910,1/5/2023,,38
910,1/6/2023,,36
910,1/7/2023,,35
910,1/8/2023,,35
910,1/9/2023,,34
910,1/10/2023,,35
910,1/11/2023,,37
910,1/12/2023,,36
910,1/13/2023,,34
910,1/14/2023,,33
910,1/15/2023,,32
910,1/16/2023,,33
910,1/17/2023,,34
910,1/18/2023,,35
910,1/19/2023,,39
910,1/20/2023,,38
910,1/21/2023,,37
910,1/22/2023,,38
910,1/23/2023,,39
910,1/24/2023,,38
910,1/25/2023,,41
910,1/26/2023,,40
910,1/27/2023,,43
910,1/28/2023,,45
910,1/29/2023,,44
910,1/30/2023,,44
910,1/31/2023,,43
910,2/1/2023,,44
910,2/2/2023,,44
910,2/3/2023,,44
910,2/4/2023,,44
910,2/5/2023,,44
910,2/6/2023,,42
910,2/7/2023,,44
910,2/8/2023,,47
910,2/9/2023,,48
910,2/10/2023,,48
910,2/11/2023,,47
910,2/12/2023,,47
910,2/13/2023,,46
910,2/14/2023,,50
910,2/15/2023,,49
910,2/16/2023,,49
910,2/17/2023,,53
910,2/18/2023,,53
910,2/19/2023,,54
910,2/20/2023,,61
910,2/21/2023,,64
910,2/22/2023,,70
910,2/23/2023,,68
910,2/24/2023,,66
910,2/25/2023,,66
910,2/26/2023,,71
910,2/27/2023,,77
910,2/28/2023,,80
910,3/1/2023,,87
910,3/2/2023,,84
910,3/3/2023,,86
910,3/4/2023,,96
910,3/5/2023,,94
910,3/6/2023,,92
910,3/7/2023,,90
910,3/8/2023,,88
910,3/9/2023,,87
910,3/10/2023,,85
910,3/11/2023,,90
910,3/12/2023,,91
910,3/13/2023,,95
910,3/14/2023,,92
910,3/15/2023,,91
910,3/16/2023,,91
910,3/17/2023,,92
910,3/18/2023,,90
910,3/19/2023,,89
910,3/20/2023,,86
910,3/21/2023,,85
910,3/22/2023,,84
910,3/23/2023,,83
910,3/24/2023,,87
910,3/25/2023,,97
910,3/26/2023,,94
910,3/27/2023,,92
910,3/28/2023,,91
910,3/29/2023,,89
910,3/30/2023,,87
910,3/31/2023,,85
910,4/1/2023,,91
910,4/2/2023,,92
910,4/3/2023,,93
910,4/4/2023,,92
910,4/5/2023,,91
910,4/6/2023,,90
910,4/7/2023,,87
910,4/8/2023,,86
910,4/9/2023,,85
910,4/10/2023,,84
910,4/11/2023,,83
910,4/12/2023,,88
910,4/13/2023,,85
910,4/14/2023,,85
910,4/15/2023,,83
910,4/16/2023,,83
910,4/17/2023,,89
910,4/18/2023,,88
910,4/19/2023,,85
910,4/20/2023,,83
910,4/21/2023,,85
910,4/22/2023,,87
910,4/23/2023,,85
910,4/24/2023,,84
910,4/25/2023,,84
910,4/26/2023,,81
910,4/27/2023,,80
910,4/28/2023,,78
910,4/29/2023,,74
910,4/30/2023,,71
910,5/1/2023,,69
910,5/2/2023,,68
910,5/3/2023,,65
910,5/4/2023,,62
910,5/5/2023,,59
910,5/6/2023,,59
910,5/7/2023,,58
910,5/8/2023,,57
910,5/9/2023,,55
910,5/10/2023,,54
910,5/11/2023,,52
910,5/12/2023,,49
910,5/13/2023,,46
910,5/14/2023,,42
910,5/15/2023,,37
910,5/16/2023,,31
910,5/17/2023,,26
910,5/18/2023,,20
910,5/19/2023,,13
910,5/20/2023,,8
910,5/21/2023,,4
910,5/22/2023,,1
910,5/23/2023,,0
910,5/24/2023,,0
910,5/25/2023,,0
910,5/26/2023,,0
910,5/27/2023,,0
910,5/28/2023,,0
910,5/29/2023,,0
910,5/30/2023,,0
910,5/31/2023,,0
910,6/1/2023,,0
910,6/2/2023,,0
910,6/3/2023,,0
910,6/4/2023,,0
910,6/5/2023,,0
910,6/6/2023,,0
910,6/7/2023,,0
910,6/8/2023,,0
910,6/9/2023,,0
910,6/10/2023,,0
910,6/11/2023,,0
910,6/12/2023,,0
910,6/13/2023,,0
910,6/14/2023,,0
910,6/15/2023,,0
910,6/16/2023,,0
910,6/17/2023,,0
910,6/18/2023,,0
910,6/19/2023,,0
910,6/20/2023,,0
910,6/21/2023,,0
910,6/22/2023,,0
910,6/23/2023,,0
910,6/24/2023,,0
910,6/25/2023,,0
910,6/26/2023,,0
910,6/27/2023,,0
910,6/28/2023,,0
910,6/29/2023,,0
910,6/30/2023,,0
910,7/1/2023,,0
910,7/2/2023,,0
910,7/3/2023,,0
910,7/4/2023,,0
910,7/5/2023,,0
910,7/6/2023,,0
910,7/7/2023,,0
910,7/8/2023,,0
910,7/9/2023,,0
910,7/10/2023,,0
910,7/11/2023,,0
910,7/12/2023,,0
910,7/13/2023,,0
910,7/14/2023,,0
910,7/15/2023,,0
910,7/16/2023,,0
910,7/17/2023,,0
910,7/18/2023,,0
910,7/19/2023,,0
910,7/20/2023,,0
910,7/21/2023,,0
910,7/22/2023,,0
910,7/23/2023,,0
910,7/24/2023,,0
910,7/25/2023,,0
910,7/26/2023,,0
910,7/27/2023,,0
