Washington (PST) SNOTEL Site Marten Ridge - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 26 08:46:16 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.,,,
,,,
Site Id,Date,Time,SNWD.I-1 (in) 
999,1/1/2021,,83
999,1/2/2021,,79
999,1/3/2021,,87
999,1/4/2021,,90
999,1/5/2021,,95
999,1/6/2021,,103
999,1/7/2021,,102
999,1/8/2021,,98
999,1/9/2021,,96
999,1/10/2021,,97
999,1/11/2021,,96
999,1/12/2021,,97
999,1/13/2021,,94
999,1/14/2021,,92
999,1/15/2021,,91
999,1/16/2021,,89
999,1/17/2021,,89
999,1/18/2021,,93
999,1/19/2021,,91
999,1/20/2021,,91
999,1/21/2021,,90
999,1/22/2021,,90
999,1/23/2021,,90
999,1/24/2021,,89
999,1/25/2021,,93
999,1/26/2021,,92
999,1/27/2021,,93
999,1/28/2021,,93
999,1/29/2021,,95
999,1/30/2021,,95
999,1/31/2021,,103
999,2/1/2021,,102
999,2/2/2021,,100
999,2/3/2021,,106
999,2/4/2021,,103
999,2/5/2021,,117
999,2/6/2021,,114
999,2/7/2021,,127
999,2/8/2021,,127
999,2/9/2021,,128
999,2/10/2021,,125
999,2/11/2021,,125
999,2/12/2021,,123
999,2/13/2021,,124
999,2/14/2021,,133
999,2/15/2021,,133
999,2/16/2021,,135
999,2/17/2021,,139
999,2/18/2021,,135
999,2/19/2021,,140
999,2/20/2021,,143
999,2/21/2021,,146
999,2/22/2021,,149
999,2/23/2021,,145
999,2/24/2021,,148
999,2/25/2021,,143
999,2/26/2021,,159
999,2/27/2021,,160
999,2/28/2021,,157
999,3/1/2021,,154
999,3/2/2021,,152
999,3/3/2021,,149
999,3/4/2021,,148
999,3/5/2021,,146
999,3/6/2021,,144
999,3/7/2021,,144
999,3/8/2021,,150
999,3/9/2021,,147
999,3/10/2021,,145
999,3/11/2021,,143
999,3/12/2021,,142
999,3/13/2021,,141
999,3/14/2021,,140
999,3/15/2021,,144
999,3/16/2021,,141
999,3/17/2021,,141
999,3/18/2021,,140
999,3/19/2021,,140
999,3/20/2021,,142
999,3/21/2021,,145
999,3/22/2021,,158
999,3/23/2021,,156
999,3/24/2021,,157
999,3/25/2021,,162
999,3/26/2021,,157
999,3/27/2021,,155
999,3/28/2021,,153
999,3/29/2021,,163
999,3/30/2021,,159
999,3/31/2021,,157
999,4/1/2021,,154
999,4/2/2021,,151
999,4/3/2021,,149
999,4/4/2021,,147
999,4/5/2021,,146
999,4/6/2021,,146
999,4/7/2021,,145
999,4/8/2021,,153
999,4/9/2021,,153
999,4/10/2021,,157
999,4/11/2021,,156
999,4/12/2021,,153
999,4/13/2021,,151
999,4/14/2021,,149
999,4/15/2021,,147
999,4/16/2021,,144
999,4/17/2021,,142
999,4/18/2021,,140
999,4/19/2021,,138
999,4/20/2021,,136
999,4/21/2021,,134
999,4/22/2021,,133
999,4/23/2021,,131
999,4/24/2021,,130
999,4/25/2021,,129
999,4/26/2021,,129
999,4/27/2021,,128
999,4/28/2021,,127
999,4/29/2021,,126
