1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F100000050FEBB21
Is Mission Active?  false
Mission Start:  Sat Jul 20 10:47:00 PDT 2019
Sample Rate:  Every 15 minute(s)
Number of Mission Samples:  678
Total Samples:  678
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/20/19 10:47:00 AM,C,19.5
7/20/19 11:02:00 AM,C,19.5
7/20/19 11:17:00 AM,C,19.5
7/20/19 11:32:00 AM,C,20
7/20/19 11:47:00 AM,C,20
7/20/19 12:02:00 PM,C,20.5
7/20/19 12:17:00 PM,C,21
7/20/19 12:32:00 PM,C,24
7/20/19 12:47:00 PM,C,22.5
7/20/19 1:02:00 PM,C,22.5
7/20/19 1:17:00 PM,C,21.5
7/20/19 1:32:00 PM,C,20.5
7/20/19 1:47:00 PM,C,20.5
7/20/19 2:02:00 PM,C,20.5
7/20/19 2:17:00 PM,C,20.5
7/20/19 2:32:00 PM,C,20.5
7/20/19 2:47:00 PM,C,20.5
7/20/19 3:02:00 PM,C,20.5
7/20/19 3:17:00 PM,C,21
7/20/19 3:32:00 PM,C,21
7/20/19 3:47:00 PM,C,20.5
7/20/19 4:02:00 PM,C,20.5
7/20/19 4:17:00 PM,C,20.5
7/20/19 4:32:00 PM,C,20.5
7/20/19 4:47:00 PM,C,20.5
7/20/19 5:02:00 PM,C,20.5
7/20/19 5:17:00 PM,C,20.5
7/20/19 5:32:00 PM,C,20.5
7/20/19 5:47:00 PM,C,20.5
7/20/19 6:02:00 PM,C,20.5
7/20/19 6:17:00 PM,C,20.5
7/20/19 6:32:00 PM,C,20.5
7/20/19 6:47:00 PM,C,20.5
7/20/19 7:02:00 PM,C,20
7/20/19 7:17:00 PM,C,20
7/20/19 7:32:00 PM,C,20
7/20/19 7:47:00 PM,C,20
7/20/19 8:02:00 PM,C,20
7/20/19 8:17:00 PM,C,20
7/20/19 8:32:00 PM,C,20
7/20/19 8:47:00 PM,C,20
7/20/19 9:02:00 PM,C,20
7/20/19 9:17:00 PM,C,20
7/20/19 9:32:00 PM,C,20
7/20/19 9:47:00 PM,C,20
7/20/19 10:02:00 PM,C,20
7/20/19 10:17:00 PM,C,20
7/20/19 10:32:00 PM,C,20
7/20/19 10:47:00 PM,C,20
7/20/19 11:02:00 PM,C,20
7/20/19 11:17:00 PM,C,20
7/20/19 11:32:00 PM,C,20
7/20/19 11:47:00 PM,C,20
7/21/19 12:02:00 AM,C,20
7/21/19 12:17:00 AM,C,20
7/21/19 12:32:00 AM,C,20
7/21/19 12:47:00 AM,C,20
7/21/19 1:02:00 AM,C,20
7/21/19 1:17:00 AM,C,20
7/21/19 1:32:00 AM,C,19.5
7/21/19 1:47:00 AM,C,19.5
7/21/19 2:02:00 AM,C,19.5
7/21/19 2:17:00 AM,C,19.5
7/21/19 2:32:00 AM,C,19.5
7/21/19 2:47:00 AM,C,19.5
7/21/19 3:02:00 AM,C,19.5
7/21/19 3:17:00 AM,C,19.5
7/21/19 3:32:00 AM,C,19.5
7/21/19 3:47:00 AM,C,19.5
7/21/19 4:02:00 AM,C,19.5
7/21/19 4:17:00 AM,C,19.5
7/21/19 4:32:00 AM,C,19.5
7/21/19 4:47:00 AM,C,19.5
7/21/19 5:02:00 AM,C,19.5
7/21/19 5:17:00 AM,C,19.5
7/21/19 5:32:00 AM,C,19.5
7/21/19 5:47:00 AM,C,19.5
7/21/19 6:02:00 AM,C,19
7/21/19 6:17:00 AM,C,19
7/21/19 6:32:00 AM,C,19
7/21/19 6:47:00 AM,C,19.5
7/21/19 7:02:00 AM,C,19.5
7/21/19 7:17:00 AM,C,19.5
7/21/19 7:32:00 AM,C,19
7/21/19 7:47:00 AM,C,19.5
7/21/19 8:02:00 AM,C,19.5
7/21/19 8:17:00 AM,C,19.5
7/21/19 8:32:00 AM,C,19.5
7/21/19 8:47:00 AM,C,20
7/21/19 9:02:00 AM,C,20.5
7/21/19 9:17:00 AM,C,20.5
7/21/19 9:32:00 AM,C,20.5
7/21/19 9:47:00 AM,C,20.5
7/21/19 10:02:00 AM,C,20.5
7/21/19 10:17:00 AM,C,20.5
7/21/19 10:32:00 AM,C,21
7/21/19 10:47:00 AM,C,21
7/21/19 11:02:00 AM,C,21
7/21/19 11:17:00 AM,C,21
7/21/19 11:32:00 AM,C,23.5
7/21/19 11:47:00 AM,C,27
7/21/19 12:02:00 PM,C,27.5
7/21/19 12:17:00 PM,C,29
7/21/19 12:32:00 PM,C,29
7/21/19 12:47:00 PM,C,30.5
7/21/19 1:02:00 PM,C,30
7/21/19 1:17:00 PM,C,29
7/21/19 1:32:00 PM,C,29.5
7/21/19 1:47:00 PM,C,30.5
7/21/19 2:02:00 PM,C,30
7/21/19 2:17:00 PM,C,29.5
7/21/19 2:32:00 PM,C,27.5
7/21/19 2:47:00 PM,C,27
7/21/19 3:02:00 PM,C,29.5
7/21/19 3:17:00 PM,C,40
7/21/19 3:32:00 PM,C,38.5
7/21/19 3:47:00 PM,C,29.5
7/21/19 4:02:00 PM,C,26.5
7/21/19 4:17:00 PM,C,26
7/21/19 4:32:00 PM,C,34
7/21/19 4:47:00 PM,C,25
7/21/19 5:02:00 PM,C,23
7/21/19 5:17:00 PM,C,26
7/21/19 5:32:00 PM,C,29.5
7/21/19 5:47:00 PM,C,24
7/21/19 6:02:00 PM,C,21.5
7/21/19 6:17:00 PM,C,20
7/21/19 6:32:00 PM,C,22
7/21/19 6:47:00 PM,C,20.5
7/21/19 7:02:00 PM,C,21.5
7/21/19 7:17:00 PM,C,21
7/21/19 7:32:00 PM,C,20.5
7/21/19 7:47:00 PM,C,20.5
7/21/19 8:02:00 PM,C,20
7/21/19 8:17:00 PM,C,19.5
7/21/19 8:32:00 PM,C,19.5
7/21/19 8:47:00 PM,C,19
7/21/19 9:02:00 PM,C,19
7/21/19 9:17:00 PM,C,18.5
7/21/19 9:32:00 PM,C,18.5
7/21/19 9:47:00 PM,C,18
7/21/19 10:02:00 PM,C,18
7/21/19 10:17:00 PM,C,17.5
7/21/19 10:32:00 PM,C,17.5
7/21/19 10:47:00 PM,C,17.5
7/21/19 11:02:00 PM,C,17
7/21/19 11:17:00 PM,C,17
7/21/19 11:32:00 PM,C,17
7/21/19 11:47:00 PM,C,16.5
7/22/19 12:02:00 AM,C,16.5
7/22/19 12:17:00 AM,C,16.5
7/22/19 12:32:00 AM,C,16.5
7/22/19 12:47:00 AM,C,16
7/22/19 1:02:00 AM,C,16
7/22/19 1:17:00 AM,C,16
7/22/19 1:32:00 AM,C,16
7/22/19 1:47:00 AM,C,15.5
7/22/19 2:02:00 AM,C,15.5
7/22/19 2:17:00 AM,C,15.5
7/22/19 2:32:00 AM,C,15.5
7/22/19 2:47:00 AM,C,15
7/22/19 3:02:00 AM,C,15
7/22/19 3:17:00 AM,C,15
7/22/19 3:32:00 AM,C,15
7/22/19 3:47:00 AM,C,15
7/22/19 4:02:00 AM,C,14.5
7/22/19 4:17:00 AM,C,14.5
7/22/19 4:32:00 AM,C,14.5
7/22/19 4:47:00 AM,C,14.5
7/22/19 5:02:00 AM,C,14.5
7/22/19 5:17:00 AM,C,14.5
7/22/19 5:32:00 AM,C,14
7/22/19 5:47:00 AM,C,14
7/22/19 6:02:00 AM,C,14
7/22/19 6:17:00 AM,C,14
7/22/19 6:32:00 AM,C,14
7/22/19 6:47:00 AM,C,14
7/22/19 7:02:00 AM,C,14
7/22/19 7:17:00 AM,C,13.5
7/22/19 7:32:00 AM,C,13.5
7/22/19 7:47:00 AM,C,12.5
7/22/19 8:02:00 AM,C,11.5
7/22/19 8:17:00 AM,C,11.5
7/22/19 8:32:00 AM,C,14.5
7/22/19 8:47:00 AM,C,15.5
7/22/19 9:02:00 AM,C,19.5
7/22/19 9:17:00 AM,C,20
7/22/19 9:32:00 AM,C,22.5
7/22/19 9:47:00 AM,C,19.5
7/22/19 10:02:00 AM,C,19.5
7/22/19 10:17:00 AM,C,21.5
7/22/19 10:32:00 AM,C,23
7/22/19 10:47:00 AM,C,27.5
7/22/19 11:02:00 AM,C,26
7/22/19 11:17:00 AM,C,21.5
7/22/19 11:32:00 AM,C,20.5
7/22/19 11:47:00 AM,C,23
7/22/19 12:02:00 PM,C,29
7/22/19 12:17:00 PM,C,29
7/22/19 12:32:00 PM,C,27
7/22/19 12:47:00 PM,C,26.5
7/22/19 1:02:00 PM,C,26
7/22/19 1:17:00 PM,C,26.5
7/22/19 1:32:00 PM,C,27.5
7/22/19 1:47:00 PM,C,27
7/22/19 2:02:00 PM,C,26
7/22/19 2:17:00 PM,C,32
7/22/19 2:32:00 PM,C,38
7/22/19 2:47:00 PM,C,39.5
7/22/19 3:02:00 PM,C,37.5
7/22/19 3:17:00 PM,C,37
7/22/19 3:32:00 PM,C,38
7/22/19 3:47:00 PM,C,35
7/22/19 4:02:00 PM,C,35
7/22/19 4:17:00 PM,C,35.5
7/22/19 4:32:00 PM,C,36
7/22/19 4:47:00 PM,C,37
7/22/19 5:02:00 PM,C,33.5
7/22/19 5:17:00 PM,C,28.5
7/22/19 5:32:00 PM,C,27
7/22/19 5:47:00 PM,C,26.5
