1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 71000000488AE021
Is Mission Active?  false
Mission Start:  Mon Jul 27 23:43:00 PDT 2020
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2049
Total Samples:  6802
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/27/20 11:43:00 PM,C,26.5
7/28/20 3:58:00 AM,C,24
7/28/20 8:13:00 AM,C,22.5
7/28/20 12:28:00 PM,C,26
7/28/20 4:43:00 PM,C,24
7/28/20 8:58:00 PM,C,14
7/29/20 1:13:00 AM,C,11
7/29/20 5:28:00 AM,C,9.5
7/29/20 9:43:00 AM,C,20.5
7/29/20 1:58:00 PM,C,24.5
7/29/20 6:13:00 PM,C,22
7/29/20 10:28:00 PM,C,14.5
7/30/20 2:43:00 AM,C,13.5
7/30/20 6:58:00 AM,C,13
7/30/20 11:13:00 AM,C,27.5
7/30/20 3:28:00 PM,C,30.5
7/30/20 7:43:00 PM,C,22
7/30/20 11:58:00 PM,C,17
7/31/20 4:13:00 AM,C,15.5
7/31/20 8:28:00 AM,C,21.5
7/31/20 12:43:00 PM,C,23.5
7/31/20 4:58:00 PM,C,24.5
7/31/20 9:13:00 PM,C,15.5
8/1/20 1:28:00 AM,C,11.5
8/1/20 5:43:00 AM,C,9
8/1/20 9:58:00 AM,C,17.5
8/1/20 2:13:00 PM,C,19.5
8/1/20 6:28:00 PM,C,17.5
8/1/20 10:43:00 PM,C,11.5
8/2/20 2:58:00 AM,C,9
8/2/20 7:13:00 AM,C,8.5
8/2/20 11:28:00 AM,C,19.5
8/2/20 3:43:00 PM,C,20.5
8/2/20 7:58:00 PM,C,16
8/3/20 12:13:00 AM,C,13
8/3/20 4:28:00 AM,C,11
8/3/20 8:43:00 AM,C,13.5
8/3/20 12:58:00 PM,C,16.5
8/3/20 5:13:00 PM,C,18.5
8/3/20 9:28:00 PM,C,13
8/4/20 1:43:00 AM,C,9.5
8/4/20 5:58:00 AM,C,8
8/4/20 10:13:00 AM,C,18.5
8/4/20 2:28:00 PM,C,22.5
8/4/20 6:43:00 PM,C,18
8/4/20 10:58:00 PM,C,13
8/5/20 3:13:00 AM,C,11
8/5/20 7:28:00 AM,C,11
8/5/20 11:43:00 AM,C,20
8/5/20 3:58:00 PM,C,22
8/5/20 8:13:00 PM,C,14.5
8/6/20 12:28:00 AM,C,12
8/6/20 4:43:00 AM,C,10.5
8/6/20 8:58:00 AM,C,11.5
8/6/20 1:13:00 PM,C,12.5
8/6/20 5:28:00 PM,C,9.5
8/6/20 9:43:00 PM,C,8
8/7/20 1:58:00 AM,C,7.5
8/7/20 6:13:00 AM,C,7.5
8/7/20 10:28:00 AM,C,9.5
8/7/20 2:43:00 PM,C,14.5
8/7/20 6:58:00 PM,C,11.5
8/7/20 11:13:00 PM,C,9.5
8/8/20 3:28:00 AM,C,9
8/8/20 7:43:00 AM,C,9.5
8/8/20 11:58:00 AM,C,12
8/8/20 4:13:00 PM,C,15
8/8/20 8:28:00 PM,C,10
8/9/20 12:43:00 AM,C,7
8/9/20 4:58:00 AM,C,5
8/9/20 9:13:00 AM,C,12
8/9/20 1:28:00 PM,C,18
8/9/20 5:43:00 PM,C,18.5
8/9/20 9:58:00 PM,C,11
8/10/20 2:13:00 AM,C,8.5
8/10/20 6:28:00 AM,C,9
8/10/20 10:43:00 AM,C,17.5
8/10/20 2:58:00 PM,C,20.5
8/10/20 7:13:00 PM,C,15.5
8/10/20 11:28:00 PM,C,9
8/11/20 3:43:00 AM,C,7
8/11/20 7:58:00 AM,C,10.5
8/11/20 12:13:00 PM,C,18
8/11/20 4:28:00 PM,C,18
8/11/20 8:43:00 PM,C,11.5
8/12/20 12:58:00 AM,C,4
8/12/20 5:13:00 AM,C,3.5
8/12/20 9:28:00 AM,C,9
8/12/20 1:43:00 PM,C,10.5
8/12/20 5:58:00 PM,C,11.5
8/12/20 10:13:00 PM,C,6
8/13/20 2:28:00 AM,C,3.5
8/13/20 6:43:00 AM,C,3.5
8/13/20 10:58:00 AM,C,11
8/13/20 3:13:00 PM,C,15
8/13/20 7:28:00 PM,C,11.5
8/13/20 11:43:00 PM,C,6
8/14/20 3:58:00 AM,C,5
8/14/20 8:13:00 AM,C,9.5
8/14/20 12:28:00 PM,C,17.5
8/14/20 4:43:00 PM,C,20
8/14/20 8:58:00 PM,C,12
8/15/20 1:13:00 AM,C,9
8/15/20 5:28:00 AM,C,8.5
8/15/20 9:43:00 AM,C,19.5
8/15/20 1:58:00 PM,C,25.5
8/15/20 6:13:00 PM,C,20
8/15/20 10:28:00 PM,C,14.5
8/16/20 2:43:00 AM,C,14.5
8/16/20 6:58:00 AM,C,13.5
8/16/20 11:13:00 AM,C,28
8/16/20 3:28:00 PM,C,31
8/16/20 7:43:00 PM,C,24
8/16/20 11:58:00 PM,C,19
8/17/20 4:13:00 AM,C,16
8/17/20 8:28:00 AM,C,19.5
8/17/20 12:43:00 PM,C,25
8/17/20 4:58:00 PM,C,27
8/17/20 9:13:00 PM,C,14.5
8/18/20 1:28:00 AM,C,13
8/18/20 5:43:00 AM,C,12
8/18/20 9:58:00 AM,C,19.5
8/18/20 2:13:00 PM,C,22.5
8/18/20 6:28:00 PM,C,18.5
8/18/20 10:43:00 PM,C,11
8/19/20 2:58:00 AM,C,10
8/19/20 7:13:00 AM,C,9.5
8/19/20 11:28:00 AM,C,20
8/19/20 3:43:00 PM,C,21
8/19/20 7:58:00 PM,C,15
8/20/20 12:13:00 AM,C,13.5
8/20/20 4:28:00 AM,C,12.5
8/20/20 8:43:00 AM,C,12
8/20/20 12:58:00 PM,C,14
8/20/20 5:13:00 PM,C,16.5
8/20/20 9:28:00 PM,C,13.5
8/21/20 1:43:00 AM,C,13
8/21/20 5:58:00 AM,C,13
8/21/20 10:13:00 AM,C,13
8/21/20 2:28:00 PM,C,12
