1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D30000004861AC21
Is Mission Active?  false
Mission Start:  Mon Jul 27 23:45:00 PDT 2020
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2049
Total Samples:  6533
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/27/20 11:45:00 PM,C,26.5
7/28/20 4:00:00 AM,C,23.5
7/28/20 8:15:00 AM,C,22.5
7/28/20 12:30:00 PM,C,26.5
7/28/20 4:45:00 PM,C,20
7/28/20 9:00:00 PM,C,14.5
7/29/20 1:15:00 AM,C,13
7/29/20 5:30:00 AM,C,12
7/29/20 9:45:00 AM,C,18.5
7/29/20 2:00:00 PM,C,23
7/29/20 6:15:00 PM,C,21.5
7/29/20 10:30:00 PM,C,17.5
7/30/20 2:45:00 AM,C,17.5
7/30/20 7:00:00 AM,C,19
7/30/20 11:15:00 AM,C,27
7/30/20 3:30:00 PM,C,28.5
7/30/20 7:45:00 PM,C,24
7/31/20 12:00:00 AM,C,21.5
7/31/20 4:15:00 AM,C,21
7/31/20 8:30:00 AM,C,22
7/31/20 12:45:00 PM,C,22
7/31/20 5:00:00 PM,C,21.5
7/31/20 9:15:00 PM,C,15
8/1/20 1:30:00 AM,C,13
8/1/20 5:45:00 AM,C,11.5
8/1/20 10:00:00 AM,C,16
8/1/20 2:15:00 PM,C,17
8/1/20 6:30:00 PM,C,16
8/1/20 10:45:00 PM,C,12
8/2/20 3:00:00 AM,C,10.5
8/2/20 7:15:00 AM,C,11
8/2/20 11:30:00 AM,C,15.5
8/2/20 3:45:00 PM,C,16.5
8/2/20 8:00:00 PM,C,13
8/3/20 12:15:00 AM,C,11.5
8/3/20 4:30:00 AM,C,10.5
8/3/20 8:45:00 AM,C,11.5
8/3/20 1:00:00 PM,C,13.5
8/3/20 5:15:00 PM,C,15.5
8/3/20 9:30:00 PM,C,11.5
8/4/20 1:45:00 AM,C,10.5
8/4/20 6:00:00 AM,C,10.5
8/4/20 10:15:00 AM,C,16.5
8/4/20 2:30:00 PM,C,20.5
8/4/20 6:45:00 PM,C,18.5
8/4/20 11:00:00 PM,C,14
8/5/20 3:15:00 AM,C,13
8/5/20 7:30:00 AM,C,12.5
8/5/20 11:45:00 AM,C,17.5
8/5/20 4:00:00 PM,C,17.5
8/5/20 8:15:00 PM,C,13.5
8/6/20 12:30:00 AM,C,12
8/6/20 4:45:00 AM,C,10
8/6/20 9:00:00 AM,C,9.5
8/6/20 1:15:00 PM,C,8.5
8/6/20 5:30:00 PM,C,7
8/6/20 9:45:00 PM,C,6.5
8/7/20 2:00:00 AM,C,6
8/7/20 6:15:00 AM,C,6
8/7/20 10:30:00 AM,C,7
8/7/20 2:45:00 PM,C,10.5
8/7/20 7:00:00 PM,C,8.5
8/7/20 11:15:00 PM,C,7.5
8/8/20 3:30:00 AM,C,7.5
8/8/20 7:45:00 AM,C,8
8/8/20 12:00:00 PM,C,9
8/8/20 4:15:00 PM,C,11
8/8/20 8:30:00 PM,C,7.5
8/9/20 12:45:00 AM,C,6
8/9/20 5:00:00 AM,C,5.5
8/9/20 9:15:00 AM,C,9.5
8/9/20 1:30:00 PM,C,13.5
8/9/20 5:45:00 PM,C,14
8/9/20 10:00:00 PM,C,10.5
8/10/20 2:15:00 AM,C,9.5
8/10/20 6:30:00 AM,C,11
8/10/20 10:45:00 AM,C,14.5
8/10/20 3:00:00 PM,C,15.5
8/10/20 7:15:00 PM,C,12.5
8/10/20 11:30:00 PM,C,9.5
8/11/20 3:45:00 AM,C,8
8/11/20 8:00:00 AM,C,10.5
8/11/20 12:15:00 PM,C,14.5
8/11/20 4:30:00 PM,C,13.5
8/11/20 8:45:00 PM,C,8
8/12/20 1:00:00 AM,C,5.5
8/12/20 5:15:00 AM,C,4
8/12/20 9:30:00 AM,C,6.5
8/12/20 1:45:00 PM,C,7.5
8/12/20 6:00:00 PM,C,8.5
8/12/20 10:15:00 PM,C,5.5
8/13/20 2:30:00 AM,C,4.5
8/13/20 6:45:00 AM,C,4
8/13/20 11:00:00 AM,C,8.5
8/13/20 3:15:00 PM,C,13.5
8/13/20 7:30:00 PM,C,9
8/13/20 11:45:00 PM,C,7
8/14/20 4:00:00 AM,C,6.5
8/14/20 8:15:00 AM,C,9.5
8/14/20 12:30:00 PM,C,16
8/14/20 4:45:00 PM,C,16.5
8/14/20 9:00:00 PM,C,12.5
8/15/20 1:15:00 AM,C,11.5
8/15/20 5:30:00 AM,C,12
8/15/20 9:45:00 AM,C,18
8/15/20 2:00:00 PM,C,23.5
8/15/20 6:15:00 PM,C,21
8/15/20 10:30:00 PM,C,19
8/16/20 2:45:00 AM,C,19.5
8/16/20 7:00:00 AM,C,19.5
8/16/20 11:15:00 AM,C,27.5
8/16/20 3:30:00 PM,C,28.5
8/16/20 7:45:00 PM,C,24
8/17/20 12:00:00 AM,C,20.5
8/17/20 4:15:00 AM,C,19
8/17/20 8:30:00 AM,C,19
8/17/20 12:45:00 PM,C,24
8/17/20 5:00:00 PM,C,22
8/17/20 9:15:00 PM,C,17.5
8/18/20 1:30:00 AM,C,16
8/18/20 5:45:00 AM,C,15.5
8/18/20 10:00:00 AM,C,18.5
8/18/20 2:15:00 PM,C,20.5
8/18/20 6:30:00 PM,C,17
8/18/20 10:45:00 PM,C,12
8/19/20 3:00:00 AM,C,11
8/19/20 7:15:00 AM,C,11
8/19/20 11:30:00 AM,C,18
8/19/20 3:45:00 PM,C,17.5
8/19/20 8:00:00 PM,C,14
8/20/20 12:15:00 AM,C,13
8/20/20 4:30:00 AM,C,11.5
8/20/20 8:45:00 AM,C,10.5
8/20/20 1:00:00 PM,C,11.5
8/20/20 5:15:00 PM,C,13
8/20/20 9:30:00 PM,C,12.5
8/21/20 1:45:00 AM,C,12
8/21/20 6:00:00 AM,C,11.5
8/21/20 10:15:00 AM,C,11
8/21/20 2:30:00 PM,C,10
8/21/20 6:45:00 PM,C,10
8/21/20 11:00:00 PM,C,9
8/22/20 3:15:00 AM,C,7.5
8/22/20 7:30:00 AM,C,5.5
8/22/20 11:45:00 AM,C,10
8/22/20 4:00:00 PM,C,10.5
8/22/20 8:15:00 PM,C,9
8/23/20 12:30:00 AM,C,7.5
8/23/20 4:45:00 AM,C,7.5
8/23/20 9:00:00 AM,C,10
8/23/20 1:15:00 PM,C,15.5
8/23/20 5:30:00 PM,C,14.5
8/23/20 9:45:00 PM,C,10.5
8/24/20 2:00:00 AM,C,9
8/24/20 6:15:00 AM,C,9
8/24/20 10:30:00 AM,C,11
8/24/20 2:45:00 PM,C,12
8/24/20 7:00:00 PM,C,11
8/24/20 11:15:00 PM,C,8.5
8/25/20 3:30:00 AM,C,8
8/25/20 7:45:00 AM,C,9
8/25/20 12:00:00 PM,C,12
8/25/20 4:15:00 PM,C,14
8/25/20 8:30:00 PM,C,10
8/26/20 12:45:00 AM,C,7.5
8/26/20 5:00:00 AM,C,7.5
8/26/20 9:15:00 AM,C,11
8/26/20 1:30:00 PM,C,13
8/26/20 5:45:00 PM,C,12.5
8/26/20 10:00:00 PM,C,9.5
8/27/20 2:15:00 AM,C,9
8/27/20 6:30:00 AM,C,7.5
8/27/20 10:45:00 AM,C,13.5
8/27/20 3:00:00 PM,C,16.5
8/27/20 7:15:00 PM,C,12
8/27/20 11:30:00 PM,C,10
8/28/20 3:45:00 AM,C,9.5
8/28/20 8:00:00 AM,C,11
8/28/20 12:15:00 PM,C,17
8/28/20 4:30:00 PM,C,16.5
8/28/20 8:45:00 PM,C,11
8/29/20 1:00:00 AM,C,9
8/29/20 5:15:00 AM,C,8.5
8/29/20 9:30:00 AM,C,9
8/29/20 1:45:00 PM,C,11.5
8/29/20 6:00:00 PM,C,8.5
8/29/20 10:15:00 PM,C,6.5
8/30/20 2:30:00 AM,C,4.5
8/30/20 6:45:00 AM,C,4
8/30/20 11:00:00 AM,C,11.5
8/30/20 3:15:00 PM,C,12.5
8/30/20 7:30:00 PM,C,7
8/30/20 11:45:00 PM,C,5.5
8/31/20 4:00:00 AM,C,6
8/31/20 8:15:00 AM,C,6
8/31/20 12:30:00 PM,C,7
8/31/20 4:45:00 PM,C,8.5
8/31/20 9:00:00 PM,C,8
9/1/20 1:15:00 AM,C,8
9/1/20 5:30:00 AM,C,7.5
9/1/20 9:45:00 AM,C,9.5
9/1/20 2:00:00 PM,C,11.5
9/1/20 6:15:00 PM,C,13
9/1/20 10:30:00 PM,C,12
9/2/20 2:45:00 AM,C,11
9/2/20 7:00:00 AM,C,11
9/2/20 11:15:00 AM,C,12
9/2/20 3:30:00 PM,C,13
9/2/20 7:45:00 PM,C,12
9/3/20 12:00:00 AM,C,9
9/3/20 4:15:00 AM,C,10
9/3/20 8:30:00 AM,C,13
9/3/20 12:45:00 PM,C,18.5
9/3/20 5:00:00 PM,C,18
9/3/20 9:15:00 PM,C,15
9/4/20 1:30:00 AM,C,15.5
9/4/20 5:45:00 AM,C,16.5
9/4/20 10:00:00 AM,C,21
9/4/20 2:15:00 PM,C,24
9/4/20 6:30:00 PM,C,21
9/4/20 10:45:00 PM,C,15
9/5/20 3:00:00 AM,C,14
9/5/20 7:15:00 AM,C,11.5
9/5/20 11:30:00 AM,C,15.5
9/5/20 3:45:00 PM,C,16
9/5/20 8:00:00 PM,C,13
9/6/20 12:15:00 AM,C,11.5
9/6/20 4:30:00 AM,C,11
9/6/20 8:45:00 AM,C,13.5
9/6/20 1:00:00 PM,C,18
9/6/20 5:15:00 PM,C,15.5
9/6/20 9:30:00 PM,C,12
9/7/20 1:45:00 AM,C,11
9/7/20 6:00:00 AM,C,11.5
9/7/20 10:15:00 AM,C,15.5
9/7/20 2:30:00 PM,C,16
9/7/20 6:45:00 PM,C,14.5
9/7/20 11:00:00 PM,C,13
9/8/20 3:15:00 AM,C,10.5
9/8/20 7:30:00 AM,C,9
9/8/20 11:45:00 AM,C,16
9/8/20 4:00:00 PM,C,17
9/8/20 8:15:00 PM,C,14
9/9/20 12:30:00 AM,C,15
9/9/20 4:45:00 AM,C,14
9/9/20 9:00:00 AM,C,17
9/9/20 1:15:00 PM,C,23.5
9/9/20 5:30:00 PM,C,21
9/9/20 9:45:00 PM,C,17.5
9/10/20 2:00:00 AM,C,17
9/10/20 6:15:00 AM,C,15.5
