1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7500000056935821
Is Mission Active?  false
Mission Start:  Sun Jul 18 17:45:00 CEST 2021
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2074
Total Samples:  2076
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/18/21, 5:45:00 PM,C,21.5
7/18/21, 10:00:00 PM,C,21.5
7/19/21, 2:15:00 AM,C,21.5
7/19/21, 6:30:00 AM,C,21.5
7/19/21, 10:45:00 AM,C,35
7/19/21, 3:00:00 PM,C,29
7/19/21, 7:15:00 PM,C,28
7/19/21, 11:30:00 PM,C,17.5
7/20/21, 3:45:00 AM,C,13.5
7/20/21, 8:00:00 AM,C,11
7/20/21, 12:15:00 PM,C,19.5
7/20/21, 4:30:00 PM,C,18
7/20/21, 8:45:00 PM,C,15.5
7/21/21, 1:00:00 AM,C,14.5
7/21/21, 5:15:00 AM,C,13.5
7/21/21, 9:30:00 AM,C,13.5
7/21/21, 1:45:00 PM,C,15
7/21/21, 6:00:00 PM,C,15.5
7/21/21, 10:15:00 PM,C,13
7/22/21, 2:30:00 AM,C,12
7/22/21, 6:45:00 AM,C,10.5
7/22/21, 11:00:00 AM,C,14
7/22/21, 3:15:00 PM,C,16
7/22/21, 7:30:00 PM,C,14.5
7/22/21, 11:45:00 PM,C,12
7/23/21, 4:00:00 AM,C,10.5
7/23/21, 8:15:00 AM,C,11
7/23/21, 12:30:00 PM,C,18
7/23/21, 4:45:00 PM,C,17
7/23/21, 9:00:00 PM,C,14.5
7/24/21, 1:15:00 AM,C,12.5
7/24/21, 5:30:00 AM,C,11
7/24/21, 9:45:00 AM,C,13
7/24/21, 2:00:00 PM,C,21
7/24/21, 6:15:00 PM,C,18.5
7/24/21, 10:30:00 PM,C,15
7/25/21, 2:45:00 AM,C,13
7/25/21, 7:00:00 AM,C,11.5
7/25/21, 11:15:00 AM,C,16.5
7/25/21, 3:30:00 PM,C,19.5
7/25/21, 7:45:00 PM,C,17
7/26/21, 12:00:00 AM,C,14
7/26/21, 4:15:00 AM,C,12.5
7/26/21, 8:30:00 AM,C,12.5
7/26/21, 12:45:00 PM,C,20.5
