1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 98000000569BA021
Is Mission Active?  false
Mission Start:  Sun Jul 18 17:52:00 CEST 2021
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2074
Total Samples:  2074
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/18/21, 5:52:00 PM,C,21.5
7/18/21, 10:07:00 PM,C,21.5
7/19/21, 2:22:00 AM,C,21
7/19/21, 6:37:00 AM,C,21.5
7/19/21, 10:52:00 AM,C,24
7/19/21, 3:07:00 PM,C,31.5
7/19/21, 7:22:00 PM,C,33.5
7/19/21, 11:37:00 PM,C,20.5
7/20/21, 3:52:00 AM,C,14.5
7/20/21, 8:07:00 AM,C,12
7/20/21, 12:22:00 PM,C,18.5
7/20/21, 4:37:00 PM,C,20
7/20/21, 8:52:00 PM,C,13
7/21/21, 1:07:00 AM,C,9.5
7/21/21, 5:22:00 AM,C,9.5
7/21/21, 9:37:00 AM,C,11
7/21/21, 1:52:00 PM,C,14
7/21/21, 6:07:00 PM,C,14
7/21/21, 10:22:00 PM,C,10.5
7/22/21, 2:37:00 AM,C,8.5
7/22/21, 6:52:00 AM,C,6.5
7/22/21, 11:07:00 AM,C,11.5
7/22/21, 3:22:00 PM,C,14.5
7/22/21, 7:37:00 PM,C,16
7/22/21, 11:52:00 PM,C,9.5
7/23/21, 4:07:00 AM,C,8
7/23/21, 8:22:00 AM,C,9.5
7/23/21, 12:37:00 PM,C,16.5
7/23/21, 4:52:00 PM,C,24
7/23/21, 9:07:00 PM,C,16
7/24/21, 1:22:00 AM,C,11.5
7/24/21, 5:37:00 AM,C,9.5
7/24/21, 9:52:00 AM,C,10
7/24/21, 2:07:00 PM,C,21
7/24/21, 6:22:00 PM,C,25.5
7/24/21, 10:37:00 PM,C,15
7/25/21, 2:52:00 AM,C,12
7/25/21, 7:07:00 AM,C,10
7/25/21, 11:22:00 AM,C,14.5
7/25/21, 3:37:00 PM,C,25
7/25/21, 7:52:00 PM,C,22
7/26/21, 12:07:00 AM,C,13.5
7/26/21, 4:22:00 AM,C,11.5
7/26/21, 8:37:00 AM,C,10.5
7/26/21, 12:52:00 PM,C,19
7/26/21, 5:07:00 PM,C,27
7/26/21, 9:22:00 PM,C,17.5
7/27/21, 1:37:00 AM,C,13.5
7/27/21, 5:52:00 AM,C,11.5
7/27/21, 10:07:00 AM,C,12
7/27/21, 2:22:00 PM,C,23
7/27/21, 6:37:00 PM,C,25.5
7/27/21, 10:52:00 PM,C,15.5
7/28/21, 3:07:00 AM,C,12.5
7/28/21, 7:22:00 AM,C,10.5
7/28/21, 11:37:00 AM,C,15.5
7/28/21, 3:52:00 PM,C,25.5
7/28/21, 8:07:00 PM,C,22.5
7/29/21, 12:22:00 AM,C,15
7/29/21, 4:37:00 AM,C,12
7/29/21, 8:52:00 AM,C,11
7/29/21, 1:07:00 PM,C,19.5
7/29/21, 5:22:00 PM,C,28
7/29/21, 9:37:00 PM,C,18
7/30/21, 1:52:00 AM,C,15
7/30/21, 6:07:00 AM,C,13
7/30/21, 10:22:00 AM,C,15
7/30/21, 2:37:00 PM,C,27
7/30/21, 6:52:00 PM,C,29.5
7/30/21, 11:07:00 PM,C,19
7/31/21, 3:22:00 AM,C,17.5
7/31/21, 7:37:00 AM,C,17
7/31/21, 11:52:00 AM,C,19.5
7/31/21, 4:07:00 PM,C,20
7/31/21, 8:22:00 PM,C,17.5
8/1/21, 12:37:00 AM,C,16
8/1/21, 4:52:00 AM,C,15
8/1/21, 9:07:00 AM,C,14
8/1/21, 1:22:00 PM,C,18.5
8/1/21, 5:37:00 PM,C,26
8/1/21, 9:52:00 PM,C,18
8/2/21, 2:07:00 AM,C,14.5
8/2/21, 6:22:00 AM,C,13
8/2/21, 10:37:00 AM,C,16
8/2/21, 2:52:00 PM,C,25
8/2/21, 7:07:00 PM,C,26.5
8/2/21, 11:22:00 PM,C,17
8/3/21, 3:37:00 AM,C,14.5
8/3/21, 7:52:00 AM,C,14
8/3/21, 12:07:00 PM,C,20
8/3/21, 4:22:00 PM,C,29.5
8/3/21, 8:37:00 PM,C,22
8/4/21, 12:52:00 AM,C,16.5
8/4/21, 5:07:00 AM,C,14
8/4/21, 9:22:00 AM,C,13.5
8/4/21, 1:37:00 PM,C,24.5
8/4/21, 5:52:00 PM,C,30.5
8/4/21, 10:07:00 PM,C,19.5
8/5/21, 2:22:00 AM,C,15
8/5/21, 6:37:00 AM,C,14.5
8/5/21, 10:52:00 AM,C,16
8/5/21, 3:07:00 PM,C,26.5
8/5/21, 7:22:00 PM,C,23.5
8/5/21, 11:37:00 PM,C,18
8/6/21, 3:52:00 AM,C,13.5
8/6/21, 8:07:00 AM,C,12
8/6/21, 12:22:00 PM,C,15
8/6/21, 4:37:00 PM,C,18
8/6/21, 8:52:00 PM,C,13.5
8/7/21, 1:07:00 AM,C,11.5
8/7/21, 5:22:00 AM,C,10
8/7/21, 9:37:00 AM,C,11
8/7/21, 1:52:00 PM,C,13
8/7/21, 6:07:00 PM,C,12
8/7/21, 10:22:00 PM,C,8
8/8/21, 2:37:00 AM,C,7
8/8/21, 6:52:00 AM,C,6
8/8/21, 11:07:00 AM,C,8.5
8/8/21, 3:22:00 PM,C,10.5
8/8/21, 7:37:00 PM,C,10
8/8/21, 11:52:00 PM,C,9
8/9/21, 4:07:00 AM,C,8
8/9/21, 8:22:00 AM,C,9
8/9/21, 12:37:00 PM,C,15
8/9/21, 4:52:00 PM,C,15
8/9/21, 9:07:00 PM,C,12
8/10/21, 1:22:00 AM,C,10
8/10/21, 5:37:00 AM,C,9
8/10/21, 9:52:00 AM,C,11
8/10/21, 2:07:00 PM,C,19
8/10/21, 6:22:00 PM,C,21.5
8/10/21, 10:37:00 PM,C,15.5
8/11/21, 2:52:00 AM,C,13
8/11/21, 7:07:00 AM,C,12
8/11/21, 11:22:00 AM,C,15
8/11/21, 3:37:00 PM,C,22.5
8/11/21, 7:52:00 PM,C,20
8/12/21, 12:07:00 AM,C,15
8/12/21, 4:22:00 AM,C,13.5
8/12/21, 8:37:00 AM,C,13
8/12/21, 12:52:00 PM,C,17
8/12/21, 5:07:00 PM,C,20.5
8/12/21, 9:22:00 PM,C,16
8/13/21, 1:37:00 AM,C,13.5
8/13/21, 5:52:00 AM,C,12.5
8/13/21, 10:07:00 AM,C,13
8/13/21, 2:22:00 PM,C,19.5
8/13/21, 6:37:00 PM,C,20
8/13/21, 10:52:00 PM,C,15
8/14/21, 3:07:00 AM,C,13.5
8/14/21, 7:22:00 AM,C,12.5
8/14/21, 11:37:00 AM,C,16
8/14/21, 3:52:00 PM,C,20.5
8/14/21, 8:07:00 PM,C,18
8/15/21, 12:22:00 AM,C,14.5
8/15/21, 4:37:00 AM,C,13
8/15/21, 8:52:00 AM,C,12.5
8/15/21, 1:07:00 PM,C,16.5
8/15/21, 5:22:00 PM,C,19.5
8/15/21, 9:37:00 PM,C,15.5
8/16/21, 1:52:00 AM,C,14
8/16/21, 6:07:00 AM,C,12.5
8/16/21, 10:22:00 AM,C,13
8/16/21, 2:37:00 PM,C,15.5
8/16/21, 6:52:00 PM,C,13.5
8/16/21, 11:07:00 PM,C,12
8/17/21, 3:22:00 AM,C,10
8/17/21, 7:37:00 AM,C,9.5
8/17/21, 11:52:00 AM,C,11.5
8/17/21, 4:07:00 PM,C,13
8/17/21, 8:22:00 PM,C,11
8/18/21, 12:37:00 AM,C,9
8/18/21, 4:52:00 AM,C,8
8/18/21, 9:07:00 AM,C,7.5
8/18/21, 1:22:00 PM,C,14.5
8/18/21, 5:37:00 PM,C,17
8/18/21, 9:52:00 PM,C,13
8/19/21, 2:07:00 AM,C,11
8/19/21, 6:22:00 AM,C,9.5
8/19/21, 10:37:00 AM,C,12
8/19/21, 2:52:00 PM,C,13
8/19/21, 7:07:00 PM,C,12.5
8/19/21, 11:22:00 PM,C,10.5
8/20/21, 3:37:00 AM,C,9.5
8/20/21, 7:52:00 AM,C,9.5
8/20/21, 12:07:00 PM,C,11
8/20/21, 4:22:00 PM,C,12
8/20/21, 8:37:00 PM,C,11
8/21/21, 12:52:00 AM,C,9.5
8/21/21, 5:07:00 AM,C,8.5
8/21/21, 9:22:00 AM,C,10
8/21/21, 1:37:00 PM,C,12
8/21/21, 5:52:00 PM,C,12
8/21/21, 10:07:00 PM,C,10.5
8/22/21, 2:22:00 AM,C,9.5
8/22/21, 6:37:00 AM,C,8.5
