Date/time, year, month, day, hour, minute, seconds, decimal year, Temp, units

7/20/19 10:34:00 AM, 2019, 7, 20, 10, 34, 0, 2019.5491514459666, 19.5, C
7/20/19 2:49:00 PM, 2019, 7, 20, 14, 49, 0, 2019.549636605784, 20.0, C
7/20/19 7:04:00 PM, 2019, 7, 20, 19, 4, 0, 2019.5501217656013, 21.0, C
7/20/19 11:19:00 PM, 2019, 7, 20, 23, 19, 0, 2019.5506069254186, 21.0, C
7/21/19 3:34:00 AM, 2019, 7, 21, 3, 34, 0, 2019.551092085236, 21.0, C
7/21/19 7:49:00 AM, 2019, 7, 21, 7, 49, 0, 2019.5515772450533, 21.0, C
7/21/19 12:04:00 PM, 2019, 7, 21, 12, 4, 0, 2019.5520624048706, 23.0, C
7/21/19 4:19:00 PM, 2019, 7, 21, 16, 19, 0, 2019.552547564688, 30.5, C
7/21/19 8:34:00 PM, 2019, 7, 21, 20, 34, 0, 2019.5530327245053, 19.5, C
7/22/19 12:49:00 AM, 2019, 7, 22, 0, 49, 0, 2019.5535178843227, 13.0, C
7/22/19 5:04:00 AM, 2019, 7, 22, 5, 4, 0, 2019.55400304414, 11.0, C
7/22/19 9:19:00 AM, 2019, 7, 22, 9, 19, 0, 2019.5544882039574, 19.0, C
7/22/19 1:34:00 PM, 2019, 7, 22, 13, 34, 0, 2019.5549733637747, 22.0, C
7/22/19 5:49:00 PM, 2019, 7, 22, 17, 49, 0, 2019.555458523592, 22.5, C
7/22/19 10:04:00 PM, 2019, 7, 22, 22, 4, 0, 2019.5559436834094, 12.0, C
7/23/19 2:19:00 AM, 2019, 7, 23, 2, 19, 0, 2019.5564288432267, 9.5, C
7/23/19 6:34:00 AM, 2019, 7, 23, 6, 34, 0, 2019.556914003044, 9.0, C
7/23/19 10:49:00 AM, 2019, 7, 23, 10, 49, 0, 2019.5573991628614, 18.5, C
7/23/19 3:04:00 PM, 2019, 7, 23, 15, 4, 0, 2019.5578843226788, 19.5, C
