1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: DA00000053A1B821
Is Mission Active?  true
Mission Start:  Sat Jul 20 10:40:00 PDT 2019
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2124
Total Samples:  2124
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/20/19 10:40:00 AM,C,19
7/20/19 2:55:00 PM,C,19.5
7/20/19 7:10:00 PM,C,21
7/20/19 11:25:00 PM,C,21
7/21/19 3:40:00 AM,C,20.5
7/21/19 7:55:00 AM,C,21
7/21/19 12:10:00 PM,C,23
7/21/19 4:25:00 PM,C,30
7/21/19 8:40:00 PM,C,19
7/22/19 12:55:00 AM,C,13
7/22/19 5:10:00 AM,C,10.5
7/22/19 9:25:00 AM,C,20.5
7/22/19 1:40:00 PM,C,20
7/22/19 5:55:00 PM,C,18
7/22/19 10:10:00 PM,C,12.5
7/23/19 2:25:00 AM,C,11
7/23/19 6:40:00 AM,C,10.5
7/23/19 10:55:00 AM,C,16.5
7/23/19 3:10:00 PM,C,16
7/23/19 7:25:00 PM,C,12.5
7/23/19 11:40:00 PM,C,9.5
7/24/19 3:55:00 AM,C,6.5
7/24/19 8:10:00 AM,C,6.5
7/24/19 12:25:00 PM,C,8.5
7/24/19 4:40:00 PM,C,9.5
7/24/19 8:55:00 PM,C,8.5
7/25/19 1:10:00 AM,C,7.5
7/25/19 5:25:00 AM,C,7
7/25/19 9:40:00 AM,C,13
7/25/19 1:55:00 PM,C,17.5
7/25/19 6:10:00 PM,C,17
7/25/19 10:25:00 PM,C,13
7/26/19 2:40:00 AM,C,12
7/26/19 6:55:00 AM,C,13.5
7/26/19 11:10:00 AM,C,20
7/26/19 3:25:00 PM,C,20.5
7/26/19 7:40:00 PM,C,16
7/26/19 11:55:00 PM,C,13
7/27/19 4:10:00 AM,C,11.5
7/27/19 8:25:00 AM,C,9.5
7/27/19 12:40:00 PM,C,12
7/27/19 4:55:00 PM,C,11.5
7/27/19 9:10:00 PM,C,10
7/28/19 1:25:00 AM,C,7.5
7/28/19 5:40:00 AM,C,7
7/28/19 9:55:00 AM,C,13
7/28/19 2:10:00 PM,C,18.5
7/28/19 6:25:00 PM,C,15.5
7/28/19 10:40:00 PM,C,12
7/29/19 2:55:00 AM,C,10.5
7/29/19 7:10:00 AM,C,11
7/29/19 11:25:00 AM,C,17.5
7/29/19 3:40:00 PM,C,18
7/29/19 7:55:00 PM,C,13.5
7/30/19 12:10:00 AM,C,10.5
7/30/19 4:25:00 AM,C,8.5
