1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: B60000004ECB6021
Is Mission Active?  false
Mission Start:  Mon Jul 27 23:47:00 PDT 2020
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2049
Total Samples:  4146
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/27/20 11:47:00 PM,C,28.5
7/28/20 4:02:00 AM,C,23.5
7/28/20 8:17:00 AM,C,22.5
7/28/20 12:32:00 PM,C,26.5
7/28/20 4:47:00 PM,C,28.5
7/28/20 9:02:00 PM,C,19.5
7/29/20 1:17:00 AM,C,16
7/29/20 5:32:00 AM,C,14
7/29/20 9:47:00 AM,C,11.5
7/29/20 2:02:00 PM,C,24
7/29/20 6:17:00 PM,C,28
7/29/20 10:32:00 PM,C,16
7/30/20 2:47:00 AM,C,13.5
7/30/20 7:02:00 AM,C,12.5
7/30/20 11:17:00 AM,C,16.5
7/30/20 3:32:00 PM,C,29
7/30/20 7:47:00 PM,C,25.5
7/31/20 12:02:00 AM,C,17
7/31/20 4:17:00 AM,C,15
7/31/20 8:32:00 AM,C,15.5
7/31/20 12:47:00 PM,C,24
7/31/20 5:02:00 PM,C,32
7/31/20 9:17:00 PM,C,20
8/1/20 1:32:00 AM,C,14
8/1/20 5:47:00 AM,C,11
8/1/20 10:02:00 AM,C,12
8/1/20 2:17:00 PM,C,22
8/1/20 6:32:00 PM,C,28.5
8/1/20 10:47:00 PM,C,15
8/2/20 3:02:00 AM,C,11.5
8/2/20 7:17:00 AM,C,10
8/2/20 11:32:00 AM,C,15
8/2/20 3:47:00 PM,C,26.5
8/2/20 8:02:00 PM,C,20.5
8/3/20 12:17:00 AM,C,14
8/3/20 4:32:00 AM,C,12
8/3/20 8:47:00 AM,C,13
8/3/20 1:02:00 PM,C,17
8/3/20 5:17:00 PM,C,21.5
8/3/20 9:32:00 PM,C,14.5
8/4/20 1:47:00 AM,C,10.5
8/4/20 6:02:00 AM,C,9
8/4/20 10:17:00 AM,C,10.5
8/4/20 2:32:00 PM,C,27
8/4/20 6:47:00 PM,C,30.5
8/4/20 11:02:00 PM,C,15
8/5/20 3:17:00 AM,C,12
8/5/20 7:32:00 AM,C,11
8/5/20 11:47:00 AM,C,15.5
8/5/20 4:02:00 PM,C,30.5
8/5/20 8:17:00 PM,C,22
8/6/20 12:32:00 AM,C,14
8/6/20 4:47:00 AM,C,12
8/6/20 9:02:00 AM,C,11.5
8/6/20 1:17:00 PM,C,14.5
8/6/20 5:32:00 PM,C,11.5
8/6/20 9:47:00 PM,C,8
8/7/20 2:02:00 AM,C,7
8/7/20 6:17:00 AM,C,7
8/7/20 10:32:00 AM,C,9.5
8/7/20 2:47:00 PM,C,16
8/7/20 7:02:00 PM,C,12
8/7/20 11:17:00 PM,C,8.5
8/8/20 3:32:00 AM,C,8
8/8/20 7:47:00 AM,C,8.5
8/8/20 12:02:00 PM,C,13.5
8/8/20 4:17:00 PM,C,14.5
8/8/20 8:32:00 PM,C,10.5
8/9/20 12:47:00 AM,C,7
8/9/20 5:02:00 AM,C,5
8/9/20 9:17:00 AM,C,5
8/9/20 1:32:00 PM,C,16.5
8/9/20 5:47:00 PM,C,16.5
8/9/20 10:02:00 PM,C,10.5
8/10/20 2:17:00 AM,C,8
8/10/20 6:32:00 AM,C,8
8/10/20 10:47:00 AM,C,13
8/10/20 3:02:00 PM,C,23.5
8/10/20 7:17:00 PM,C,22
8/10/20 11:32:00 PM,C,11
8/11/20 3:47:00 AM,C,7.5
8/11/20 8:02:00 AM,C,7
8/11/20 12:17:00 PM,C,16.5
8/11/20 4:32:00 PM,C,21.5
8/11/20 8:47:00 PM,C,11.5
8/12/20 1:02:00 AM,C,6.5
8/12/20 5:17:00 AM,C,5
8/12/20 9:32:00 AM,C,8
8/12/20 1:47:00 PM,C,11.5
8/12/20 6:02:00 PM,C,12
8/12/20 10:17:00 PM,C,7
8/13/20 2:32:00 AM,C,5
8/13/20 6:47:00 AM,C,4
8/13/20 11:02:00 AM,C,8
8/13/20 3:17:00 PM,C,20.5
8/13/20 7:32:00 PM,C,20.5
8/13/20 11:47:00 PM,C,9
8/14/20 4:02:00 AM,C,7
8/14/20 8:17:00 AM,C,6.5
8/14/20 12:32:00 PM,C,16
8/14/20 4:47:00 PM,C,28
8/14/20 9:02:00 PM,C,16.5
