1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EB0000004EDC8321
Is Mission Active?  false
Mission Start:  Mon Jul 27 23:48:00 CEST 2020
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  4083
Total Samples:  6190
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/27/20, 11:48:00 PM,C,27.5
7/28/20, 4:03:00 AM,C,23.5
7/28/20, 8:18:00 AM,C,22
7/28/20, 12:33:00 PM,C,25.5
7/28/20, 4:48:00 PM,C,28
7/28/20, 9:03:00 PM,C,18
7/29/20, 1:18:00 AM,C,15
7/29/20, 5:33:00 AM,C,13
7/29/20, 9:48:00 AM,C,19.5
7/29/20, 2:03:00 PM,C,8.5
7/29/20, 6:18:00 PM,C,19
7/29/20, 10:33:00 PM,C,13
7/30/20, 2:48:00 AM,C,10.5
7/30/20, 7:03:00 AM,C,9.5
7/30/20, 11:18:00 AM,C,10
7/30/20, 3:33:00 PM,C,15
7/30/20, 7:48:00 PM,C,19
7/31/20, 12:03:00 AM,C,13
7/31/20, 4:18:00 AM,C,11.5
7/31/20, 8:33:00 AM,C,11.5
7/31/20, 12:48:00 PM,C,11.5
7/31/20, 5:03:00 PM,C,19.5
7/31/20, 9:18:00 PM,C,16
8/1/20, 1:33:00 AM,C,11.5
8/1/20, 5:48:00 AM,C,9
8/1/20, 10:03:00 AM,C,8.5
8/1/20, 2:18:00 PM,C,10.5
8/1/20, 6:33:00 PM,C,18.5
8/1/20, 10:48:00 PM,C,13
8/2/20, 3:03:00 AM,C,9.5
8/2/20, 7:18:00 AM,C,8
8/2/20, 11:33:00 AM,C,8
8/2/20, 3:48:00 PM,C,12.5
8/2/20, 8:03:00 PM,C,14.5
8/3/20, 12:18:00 AM,C,10.5
8/3/20, 4:33:00 AM,C,8.5
8/3/20, 8:48:00 AM,C,8.5
8/3/20, 1:03:00 PM,C,11.5
8/3/20, 5:18:00 PM,C,11.5
8/3/20, 9:33:00 PM,C,9
8/4/20, 1:48:00 AM,C,7
8/4/20, 6:03:00 AM,C,6
8/4/20, 10:18:00 AM,C,6
8/4/20, 2:33:00 PM,C,8
8/4/20, 6:48:00 PM,C,18.5
8/4/20, 11:03:00 PM,C,11.5
8/5/20, 3:18:00 AM,C,9
8/5/20, 7:33:00 AM,C,7.5
8/5/20, 11:48:00 AM,C,7.5
8/5/20, 4:03:00 PM,C,11.5
8/5/20, 8:18:00 PM,C,15.5
8/6/20, 12:33:00 AM,C,9.5
8/6/20, 4:48:00 AM,C,8.5
8/6/20, 9:03:00 AM,C,7.5
8/6/20, 1:18:00 PM,C,9
8/6/20, 5:33:00 PM,C,6
8/6/20, 9:48:00 PM,C,3.5
8/7/20, 2:03:00 AM,C,2.5
8/7/20, 6:18:00 AM,C,3
8/7/20, 10:33:00 AM,C,3.5
8/7/20, 2:48:00 PM,C,7
8/7/20, 7:03:00 PM,C,6
8/7/20, 11:18:00 PM,C,5
8/8/20, 3:33:00 AM,C,5
8/8/20, 7:48:00 AM,C,5
8/8/20, 12:03:00 PM,C,6.5
8/8/20, 4:18:00 PM,C,7
8/8/20, 8:33:00 PM,C,6
8/9/20, 12:48:00 AM,C,4
8/9/20, 5:03:00 AM,C,3
8/9/20, 9:18:00 AM,C,2.5
8/9/20, 1:33:00 PM,C,4.5
8/9/20, 5:48:00 PM,C,12
8/9/20, 10:03:00 PM,C,9
8/10/20, 2:18:00 AM,C,7
8/10/20, 6:33:00 AM,C,6.5
8/10/20, 10:48:00 AM,C,7.5
8/10/20, 3:03:00 PM,C,10
8/10/20, 7:18:00 PM,C,15.5
8/10/20, 11:33:00 PM,C,8
8/11/20, 3:48:00 AM,C,5.5
8/11/20, 8:03:00 AM,C,4.5
8/11/20, 12:18:00 PM,C,6
8/11/20, 4:33:00 PM,C,10
8/11/20, 8:48:00 PM,C,6
8/12/20, 1:03:00 AM,C,3
8/12/20, 5:18:00 AM,C,2
8/12/20, 9:33:00 AM,C,2.5
8/12/20, 1:48:00 PM,C,6.5
8/12/20, 6:03:00 PM,C,7
8/12/20, 10:18:00 PM,C,4
8/13/20, 2:33:00 AM,C,2.5
8/13/20, 6:48:00 AM,C,1.5
8/13/20, 11:03:00 AM,C,2.5
8/13/20, 3:18:00 PM,C,6
8/13/20, 7:33:00 PM,C,9.5
8/13/20, 11:48:00 PM,C,5
8/14/20, 4:03:00 AM,C,4.5
8/14/20, 8:18:00 AM,C,4.5
8/14/20, 12:33:00 PM,C,5
8/14/20, 4:48:00 PM,C,14
8/14/20, 9:03:00 PM,C,12
8/15/20, 1:18:00 AM,C,8.5
8/15/20, 5:33:00 AM,C,7
8/15/20, 9:48:00 AM,C,6.5
8/15/20, 2:03:00 PM,C,7.5
8/15/20, 6:18:00 PM,C,17.5
8/15/20, 10:33:00 PM,C,11.5
8/16/20, 2:48:00 AM,C,9.5
8/16/20, 7:03:00 AM,C,8.5
8/16/20, 11:18:00 AM,C,9
8/16/20, 3:33:00 PM,C,13.5
8/16/20, 7:48:00 PM,C,17.5
8/17/20, 12:03:00 AM,C,12
8/17/20, 4:18:00 AM,C,10.5
8/17/20, 8:33:00 AM,C,10
8/17/20, 12:48:00 PM,C,11
8/17/20, 5:03:00 PM,C,19
8/17/20, 9:18:00 PM,C,14.5
8/18/20, 1:33:00 AM,C,10.5
8/18/20, 5:48:00 AM,C,9
8/18/20, 10:03:00 AM,C,9.5
8/18/20, 2:18:00 PM,C,9.5
8/18/20, 6:33:00 PM,C,18.5
8/18/20, 10:48:00 PM,C,12
8/19/20, 3:03:00 AM,C,9
8/19/20, 7:18:00 AM,C,8
8/19/20, 11:33:00 AM,C,8
8/19/20, 3:48:00 PM,C,13
8/19/20, 8:03:00 PM,C,13.5
8/20/20, 12:18:00 AM,C,9.5
8/20/20, 4:33:00 AM,C,8.5
8/20/20, 8:48:00 AM,C,7.5
8/20/20, 1:03:00 PM,C,10
8/20/20, 5:18:00 PM,C,10
8/20/20, 9:33:00 PM,C,8.5
8/21/20, 1:48:00 AM,C,8
8/21/20, 6:03:00 AM,C,7.5
8/21/20, 10:18:00 AM,C,7
8/21/20, 2:33:00 PM,C,7
8/21/20, 6:48:00 PM,C,7.5
8/21/20, 11:03:00 PM,C,5.5
8/22/20, 3:18:00 AM,C,4
8/22/20, 7:33:00 AM,C,3
8/22/20, 11:48:00 AM,C,3.5
8/22/20, 4:03:00 PM,C,7.5
8/22/20, 8:18:00 PM,C,10
8/23/20, 12:33:00 AM,C,5
8/23/20, 4:48:00 AM,C,3.5
8/23/20, 9:03:00 AM,C,3
8/23/20, 1:18:00 PM,C,4.5
8/23/20, 5:33:00 PM,C,11
8/23/20, 9:48:00 PM,C,8
8/24/20, 2:03:00 AM,C,5
8/24/20, 6:18:00 AM,C,5
8/24/20, 10:33:00 AM,C,5.5
8/24/20, 2:48:00 PM,C,8.5
8/24/20, 7:03:00 PM,C,12.5
8/24/20, 11:18:00 PM,C,7
8/25/20, 3:33:00 AM,C,4.5
8/25/20, 7:48:00 AM,C,3
8/25/20, 12:03:00 PM,C,4
8/25/20, 4:18:00 PM,C,11
8/25/20, 8:33:00 PM,C,12.5
8/26/20, 12:48:00 AM,C,6.5
8/26/20, 5:03:00 AM,C,4.5
8/26/20, 9:18:00 AM,C,4
8/26/20, 1:33:00 PM,C,5
8/26/20, 5:48:00 PM,C,15
8/26/20, 10:03:00 PM,C,9.5
8/27/20, 2:18:00 AM,C,5.5
8/27/20, 6:33:00 AM,C,4
8/27/20, 10:48:00 AM,C,4
8/27/20, 3:03:00 PM,C,6
8/27/20, 7:18:00 PM,C,15.5
8/27/20, 11:33:00 PM,C,8
8/28/20, 3:48:00 AM,C,6
8/28/20, 8:03:00 AM,C,5
8/28/20, 12:18:00 PM,C,5.5
8/28/20, 4:33:00 PM,C,13.5
8/28/20, 8:48:00 PM,C,12
8/29/20, 1:03:00 AM,C,8
8/29/20, 5:18:00 AM,C,6.5
8/29/20, 9:33:00 AM,C,5
8/29/20, 1:48:00 PM,C,5
8/29/20, 6:03:00 PM,C,11
8/29/20, 10:18:00 PM,C,5
8/30/20, 2:33:00 AM,C,3
8/30/20, 6:48:00 AM,C,2
8/30/20, 11:03:00 AM,C,2.5
8/30/20, 3:18:00 PM,C,6
8/30/20, 7:33:00 PM,C,3.5
8/30/20, 11:48:00 PM,C,3.5
8/31/20, 4:03:00 AM,C,3
8/31/20, 8:18:00 AM,C,3
8/31/20, 12:33:00 PM,C,6
8/31/20, 4:48:00 PM,C,11
8/31/20, 9:03:00 PM,C,9
9/1/20, 1:18:00 AM,C,7.5
9/1/20, 5:33:00 AM,C,7
9/1/20, 9:48:00 AM,C,7
9/1/20, 2:03:00 PM,C,7.5
9/1/20, 6:18:00 PM,C,10.5
9/1/20, 10:33:00 PM,C,8
9/2/20, 2:48:00 AM,C,7
9/2/20, 7:03:00 AM,C,6.5
9/2/20, 11:18:00 AM,C,8
9/2/20, 3:33:00 PM,C,9.5
9/2/20, 7:48:00 PM,C,9
9/3/20, 12:03:00 AM,C,6.5
9/3/20, 4:18:00 AM,C,6.5
9/3/20, 8:33:00 AM,C,6.5
9/3/20, 12:48:00 PM,C,6.5
9/3/20, 5:03:00 PM,C,15
9/3/20, 9:18:00 PM,C,11.5
9/4/20, 1:33:00 AM,C,8
9/4/20, 5:48:00 AM,C,7
9/4/20, 10:03:00 AM,C,7
9/4/20, 2:18:00 PM,C,8.5
9/4/20, 6:33:00 PM,C,15
9/4/20, 10:48:00 PM,C,10
9/5/20, 3:03:00 AM,C,8.5
9/5/20, 7:18:00 AM,C,7
9/5/20, 11:33:00 AM,C,7.5
9/5/20, 3:48:00 PM,C,12.5
9/5/20, 8:03:00 PM,C,14
9/6/20, 12:18:00 AM,C,9.5
9/6/20, 4:33:00 AM,C,9.5
9/6/20, 8:48:00 AM,C,9
9/6/20, 1:03:00 PM,C,9.5
9/6/20, 5:18:00 PM,C,16
9/6/20, 9:33:00 PM,C,12
9/7/20, 1:48:00 AM,C,9
9/7/20, 6:03:00 AM,C,8
9/7/20, 10:18:00 AM,C,6.5
9/7/20, 2:33:00 PM,C,6.5
9/7/20, 6:48:00 PM,C,13.5
9/7/20, 11:03:00 PM,C,7.5
9/8/20, 3:18:00 AM,C,5.5
9/8/20, 7:33:00 AM,C,4.5
9/8/20, 11:48:00 AM,C,5
9/8/20, 4:03:00 PM,C,10.5
9/8/20, 8:18:00 PM,C,12
9/9/20, 12:33:00 AM,C,8.5
9/9/20, 4:48:00 AM,C,7
9/9/20, 9:03:00 AM,C,6.5
9/9/20, 1:18:00 PM,C,7.5
9/9/20, 5:33:00 PM,C,14.5
9/9/20, 9:48:00 PM,C,10.5
9/10/20, 2:03:00 AM,C,8.5
9/10/20, 6:18:00 AM,C,7.5
9/10/20, 10:33:00 AM,C,7
9/10/20, 2:48:00 PM,C,8.5
9/10/20, 7:03:00 PM,C,16.5
9/10/20, 11:18:00 PM,C,10
9/11/20, 3:33:00 AM,C,8
9/11/20, 7:48:00 AM,C,7.5
9/11/20, 12:03:00 PM,C,8
9/11/20, 4:18:00 PM,C,14
9/11/20, 8:33:00 PM,C,13.5
9/12/20, 12:48:00 AM,C,9
9/12/20, 5:03:00 AM,C,7.5
9/12/20, 9:18:00 AM,C,6.5
9/12/20, 1:33:00 PM,C,9.5
9/12/20, 5:48:00 PM,C,11
9/12/20, 10:03:00 PM,C,8
9/13/20, 2:18:00 AM,C,7
9/13/20, 6:33:00 AM,C,6
9/13/20, 10:48:00 AM,C,6.5
9/13/20, 3:03:00 PM,C,10
9/13/20, 7:18:00 PM,C,9.5
9/13/20, 11:33:00 PM,C,6.5
9/14/20, 3:48:00 AM,C,6
9/14/20, 8:03:00 AM,C,5.5
9/14/20, 12:18:00 PM,C,6.5
9/14/20, 4:33:00 PM,C,8
9/14/20, 8:48:00 PM,C,6
9/15/20, 1:03:00 AM,C,6
9/15/20, 5:18:00 AM,C,6.5
9/15/20, 9:33:00 AM,C,7
9/15/20, 1:48:00 PM,C,7.5
9/15/20, 6:03:00 PM,C,9
9/15/20, 10:18:00 PM,C,8
9/16/20, 2:33:00 AM,C,7
9/16/20, 6:48:00 AM,C,6.5
9/16/20, 11:03:00 AM,C,6.5
9/16/20, 3:18:00 PM,C,9
9/16/20, 7:33:00 PM,C,9.5
9/16/20, 11:48:00 PM,C,7
9/17/20, 4:03:00 AM,C,6.5
9/17/20, 8:18:00 AM,C,6
9/17/20, 12:33:00 PM,C,8
9/17/20, 4:48:00 PM,C,11
9/17/20, 9:03:00 PM,C,8.5
9/18/20, 1:18:00 AM,C,7
9/18/20, 5:33:00 AM,C,6.5
9/18/20, 9:48:00 AM,C,6.5
9/18/20, 2:03:00 PM,C,8.5
9/18/20, 6:18:00 PM,C,6.5
9/18/20, 10:33:00 PM,C,6
9/19/20, 2:48:00 AM,C,5.5
9/19/20, 7:03:00 AM,C,5
9/19/20, 11:18:00 AM,C,5
9/19/20, 3:33:00 PM,C,5
9/19/20, 7:48:00 PM,C,5
9/20/20, 12:03:00 AM,C,4.5
9/20/20, 4:18:00 AM,C,4
9/20/20, 8:33:00 AM,C,4
9/20/20, 12:48:00 PM,C,6
9/20/20, 5:03:00 PM,C,8
9/20/20, 9:18:00 PM,C,4.5
9/21/20, 1:33:00 AM,C,2.5
9/21/20, 5:48:00 AM,C,2
9/21/20, 10:03:00 AM,C,3
9/21/20, 2:18:00 PM,C,5.5
9/21/20, 6:33:00 PM,C,7
9/21/20, 10:48:00 PM,C,5
9/22/20, 3:03:00 AM,C,5
9/22/20, 7:18:00 AM,C,5
9/22/20, 11:33:00 AM,C,6
9/22/20, 3:48:00 PM,C,9
9/22/20, 8:03:00 PM,C,6
9/23/20, 12:18:00 AM,C,4.5
9/23/20, 4:33:00 AM,C,4
9/23/20, 8:48:00 AM,C,4
9/23/20, 1:03:00 PM,C,5
9/23/20, 5:18:00 PM,C,4.5
9/23/20, 9:33:00 PM,C,1.5
9/24/20, 1:48:00 AM,C,1.5
9/24/20, 6:03:00 AM,C,1.5
9/24/20, 10:18:00 AM,C,0.5
9/24/20, 2:33:00 PM,C,0.5
9/24/20, 6:48:00 PM,C,1
9/24/20, 11:03:00 PM,C,1.5
9/25/20, 3:18:00 AM,C,1
9/25/20, 7:33:00 AM,C,0.5
9/25/20, 11:48:00 AM,C,0.5
9/25/20, 4:03:00 PM,C,0.5
9/25/20, 8:18:00 PM,C,0.5
9/26/20, 12:33:00 AM,C,0.5
9/26/20, 4:48:00 AM,C,0.5
9/26/20, 9:03:00 AM,C,0.5
9/26/20, 1:18:00 PM,C,0.5
9/26/20, 5:33:00 PM,C,0.5
9/26/20, 9:48:00 PM,C,0.5
9/27/20, 2:03:00 AM,C,0.5
9/27/20, 6:18:00 AM,C,0.5
9/27/20, 10:33:00 AM,C,0.5
9/27/20, 2:48:00 PM,C,0.5
9/27/20, 7:03:00 PM,C,0.5
9/27/20, 11:18:00 PM,C,0.5
9/28/20, 3:33:00 AM,C,0.5
9/28/20, 7:48:00 AM,C,0.5
9/28/20, 12:03:00 PM,C,0.5
9/28/20, 4:18:00 PM,C,0.5
9/28/20, 8:33:00 PM,C,1
9/29/20, 12:48:00 AM,C,1
9/29/20, 5:03:00 AM,C,1.5
9/29/20, 9:18:00 AM,C,1.5
9/29/20, 1:33:00 PM,C,1.5
9/29/20, 5:48:00 PM,C,3
9/29/20, 10:03:00 PM,C,2.5
9/30/20, 2:18:00 AM,C,2
9/30/20, 6:33:00 AM,C,2
9/30/20, 10:48:00 AM,C,2
9/30/20, 3:03:00 PM,C,3.5
9/30/20, 7:18:00 PM,C,4.5
9/30/20, 11:33:00 PM,C,3.5
10/1/20, 3:48:00 AM,C,3
10/1/20, 8:03:00 AM,C,3
10/1/20, 12:18:00 PM,C,5.5
10/1/20, 4:33:00 PM,C,8.5
10/1/20, 8:48:00 PM,C,5.5
10/2/20, 1:03:00 AM,C,4.5
10/2/20, 5:18:00 AM,C,4
10/2/20, 9:33:00 AM,C,4.5
10/2/20, 1:48:00 PM,C,5.5
10/2/20, 6:03:00 PM,C,11
10/2/20, 10:18:00 PM,C,6.5
10/3/20, 2:33:00 AM,C,5
10/3/20, 6:48:00 AM,C,4
10/3/20, 11:03:00 AM,C,4.5
10/3/20, 3:18:00 PM,C,6
10/3/20, 7:33:00 PM,C,8.5
10/3/20, 11:48:00 PM,C,4.5
10/4/20, 4:03:00 AM,C,3
10/4/20, 8:18:00 AM,C,3
10/4/20, 12:33:00 PM,C,5
10/4/20, 4:48:00 PM,C,8
10/4/20, 9:03:00 PM,C,5
10/5/20, 1:18:00 AM,C,4
10/5/20, 5:33:00 AM,C,3.5
10/5/20, 9:48:00 AM,C,5
10/5/20, 2:03:00 PM,C,7
10/5/20, 6:18:00 PM,C,9.5
10/5/20, 10:33:00 PM,C,7.5
10/6/20, 2:48:00 AM,C,7
10/6/20, 7:03:00 AM,C,6
10/6/20, 11:18:00 AM,C,6
10/6/20, 3:33:00 PM,C,8
10/6/20, 7:48:00 PM,C,9
10/7/20, 12:03:00 AM,C,7
10/7/20, 4:18:00 AM,C,6.5
10/7/20, 8:33:00 AM,C,6
10/7/20, 12:48:00 PM,C,6
10/7/20, 5:03:00 PM,C,11
10/7/20, 9:18:00 PM,C,7.5
10/8/20, 1:33:00 AM,C,6.5
10/8/20, 5:48:00 AM,C,6.5
10/8/20, 10:03:00 AM,C,6
10/8/20, 2:18:00 PM,C,6.5
10/8/20, 6:33:00 PM,C,6
10/8/20, 10:48:00 PM,C,5
10/9/20, 3:03:00 AM,C,4
10/9/20, 7:18:00 AM,C,3.5
10/9/20, 11:33:00 AM,C,4.5
10/9/20, 3:48:00 PM,C,5
10/9/20, 8:03:00 PM,C,4
10/10/20, 12:18:00 AM,C,3.5
10/10/20, 4:33:00 AM,C,2
10/10/20, 8:48:00 AM,C,1
10/10/20, 1:03:00 PM,C,1
10/10/20, 5:18:00 PM,C,1.5
10/10/20, 9:33:00 PM,C,0.5
10/11/20, 1:48:00 AM,C,0.5
10/11/20, 6:03:00 AM,C,0.5
10/11/20, 10:18:00 AM,C,0.5
10/11/20, 2:33:00 PM,C,0.5
10/11/20, 6:48:00 PM,C,0.5
10/11/20, 11:03:00 PM,C,0.5
10/12/20, 3:18:00 AM,C,0.5
10/12/20, 7:33:00 AM,C,0.5
10/12/20, 11:48:00 AM,C,0.5
10/12/20, 4:03:00 PM,C,0.5
10/12/20, 8:18:00 PM,C,0.5
10/13/20, 12:33:00 AM,C,0.5
10/13/20, 4:48:00 AM,C,0.5
10/13/20, 9:03:00 AM,C,0.5
10/13/20, 1:18:00 PM,C,0.5
10/13/20, 5:33:00 PM,C,0.5
10/13/20, 9:48:00 PM,C,0.5
10/14/20, 2:03:00 AM,C,0.5
10/14/20, 6:18:00 AM,C,0.5
10/14/20, 10:33:00 AM,C,0.5
10/14/20, 2:48:00 PM,C,0.5
10/14/20, 7:03:00 PM,C,0.5
10/14/20, 11:18:00 PM,C,0.5
10/15/20, 3:33:00 AM,C,0.5
10/15/20, 7:48:00 AM,C,0.5
10/15/20, 12:03:00 PM,C,0.5
10/15/20, 4:18:00 PM,C,0.5
10/15/20, 8:33:00 PM,C,0.5
10/16/20, 12:48:00 AM,C,0.5
10/16/20, 5:03:00 AM,C,0.5
10/16/20, 9:18:00 AM,C,2.5
10/16/20, 1:33:00 PM,C,3.5
10/16/20, 5:48:00 PM,C,3.5
10/16/20, 10:03:00 PM,C,2.5
10/17/20, 2:18:00 AM,C,1.5
10/17/20, 6:33:00 AM,C,0.5
10/17/20, 10:48:00 AM,C,0.5
10/17/20, 3:03:00 PM,C,1
10/17/20, 7:18:00 PM,C,0.5
10/17/20, 11:33:00 PM,C,0.5
10/18/20, 3:48:00 AM,C,0.5
10/18/20, 8:03:00 AM,C,0.5
10/18/20, 12:18:00 PM,C,0.5
10/18/20, 4:33:00 PM,C,0.5
10/18/20, 8:48:00 PM,C,0.5
10/19/20, 1:03:00 AM,C,0.5
10/19/20, 5:18:00 AM,C,0
10/19/20, 9:33:00 AM,C,0
10/19/20, 1:48:00 PM,C,0
10/19/20, 6:03:00 PM,C,0
10/19/20, 10:18:00 PM,C,0
10/20/20, 2:33:00 AM,C,0
10/20/20, 6:48:00 AM,C,0
10/20/20, 11:03:00 AM,C,0
10/20/20, 3:18:00 PM,C,0
10/20/20, 7:33:00 PM,C,0
10/20/20, 11:48:00 PM,C,0
10/21/20, 4:03:00 AM,C,0
10/21/20, 8:18:00 AM,C,-0.5
10/21/20, 12:33:00 PM,C,0
10/21/20, 4:48:00 PM,C,0
10/21/20, 9:03:00 PM,C,0
10/22/20, 1:18:00 AM,C,0
10/22/20, 5:33:00 AM,C,0
10/22/20, 9:48:00 AM,C,0
10/22/20, 2:03:00 PM,C,0
10/22/20, 6:18:00 PM,C,0
