1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: A70000005EDF6D21
Is Mission Active?  false
Mission Start:  Sun Jul 10 09:40:00 PDT 2022
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2113
Total Samples:  2113
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/10/22, 9:40:00 AM,C,20.5
7/10/22, 1:55:00 PM,C,21.5
7/10/22, 6:10:00 PM,C,12
7/10/22, 10:25:00 PM,C,10
7/11/22, 2:40:00 AM,C,8.5
7/11/22, 6:55:00 AM,C,8
7/11/22, 11:10:00 AM,C,21.5
7/11/22, 3:25:00 PM,C,10
7/11/22, 7:40:00 PM,C,10
7/11/22, 11:55:00 PM,C,8
7/12/22, 4:10:00 AM,C,7.5
7/12/22, 8:25:00 AM,C,8.5
7/12/22, 12:40:00 PM,C,11
7/12/22, 4:55:00 PM,C,11.5
7/12/22, 9:10:00 PM,C,10
7/13/22, 1:25:00 AM,C,8.5
7/13/22, 5:40:00 AM,C,7.5
7/13/22, 9:55:00 AM,C,8
7/13/22, 2:10:00 PM,C,9
7/13/22, 6:25:00 PM,C,9.5
7/13/22, 10:40:00 PM,C,8.5
7/14/22, 2:55:00 AM,C,7
7/14/22, 7:10:00 AM,C,6.5
7/14/22, 11:25:00 AM,C,9.5
7/14/22, 3:40:00 PM,C,10
7/14/22, 7:55:00 PM,C,10
7/15/22, 12:10:00 AM,C,8.5
7/15/22, 4:25:00 AM,C,7.5
7/15/22, 8:40:00 AM,C,7.5
7/15/22, 12:55:00 PM,C,10
7/15/22, 5:10:00 PM,C,10.5
7/15/22, 9:25:00 PM,C,9
7/16/22, 1:40:00 AM,C,8.5
7/16/22, 5:55:00 AM,C,8.5
7/16/22, 10:10:00 AM,C,8.5
7/16/22, 2:25:00 PM,C,10
7/16/22, 6:40:00 PM,C,10
7/16/22, 10:55:00 PM,C,8.5
7/17/22, 3:10:00 AM,C,8
7/17/22, 7:25:00 AM,C,7.5
7/17/22, 11:40:00 AM,C,7.5
7/17/22, 3:55:00 PM,C,7.5
7/17/22, 8:10:00 PM,C,7.5
7/18/22, 12:25:00 AM,C,7
7/18/22, 4:40:00 AM,C,6.5
7/18/22, 8:55:00 AM,C,6.5
7/18/22, 1:10:00 PM,C,7
7/18/22, 5:25:00 PM,C,7.5
7/18/22, 9:40:00 PM,C,7.5
7/19/22, 1:55:00 AM,C,7
7/19/22, 6:10:00 AM,C,6.5
7/19/22, 10:25:00 AM,C,8.5
7/19/22, 2:40:00 PM,C,10.5
7/19/22, 6:55:00 PM,C,11
7/19/22, 11:10:00 PM,C,9.5
7/20/22, 3:25:00 AM,C,9
7/20/22, 7:40:00 AM,C,8.5
7/20/22, 11:55:00 AM,C,11
7/20/22, 4:10:00 PM,C,12
7/20/22, 8:25:00 PM,C,12
7/21/22, 12:40:00 AM,C,10.5
7/21/22, 4:55:00 AM,C,9.5
7/21/22, 9:10:00 AM,C,10
7/21/22, 1:25:00 PM,C,12
7/21/22, 5:40:00 PM,C,12.5
7/21/22, 9:55:00 PM,C,11.5
7/22/22, 2:10:00 AM,C,10
7/22/22, 6:25:00 AM,C,9.5
