Date/time, year, month, day, hour, minute, seconds, decimal year, Temp, units

7/20/19 10:39:00 AM, 2019, 7, 20, 10, 39, 0, 2019.5491609589042, 19.0, C
7/20/19 2:54:00 PM, 2019, 7, 20, 14, 54, 0, 2019.5496461187215, 20.0, C
7/20/19 7:09:00 PM, 2019, 7, 20, 19, 9, 0, 2019.5501312785389, 21.0, C
7/20/19 11:24:00 PM, 2019, 7, 20, 23, 24, 0, 2019.5506164383562, 21.0, C
7/21/19 3:39:00 AM, 2019, 7, 21, 3, 39, 0, 2019.5511015981735, 20.5, C
7/21/19 7:54:00 AM, 2019, 7, 21, 7, 54, 0, 2019.551586757991, 21.0, C
7/21/19 12:09:00 PM, 2019, 7, 21, 12, 9, 0, 2019.5520719178082, 23.0, C
7/21/19 4:24:00 PM, 2019, 7, 21, 16, 24, 0, 2019.5525570776256, 30.5, C
7/21/19 8:39:00 PM, 2019, 7, 21, 20, 39, 0, 2019.553042237443, 19.0, C
7/22/19 12:54:00 AM, 2019, 7, 22, 0, 54, 0, 2019.5535273972603, 13.0, C
7/22/19 5:09:00 AM, 2019, 7, 22, 5, 9, 0, 2019.5540125570776, 11.0, C
7/22/19 9:24:00 AM, 2019, 7, 22, 9, 24, 0, 2019.554497716895, 29.0, C
7/22/19 1:39:00 PM, 2019, 7, 22, 13, 39, 0, 2019.5549828767123, 27.5, C
7/22/19 5:54:00 PM, 2019, 7, 22, 17, 54, 0, 2019.5554680365296, 30.5, C
7/22/19 10:09:00 PM, 2019, 7, 22, 22, 9, 0, 2019.555953196347, 10.0, C
7/23/19 2:24:00 AM, 2019, 7, 23, 2, 24, 0, 2019.5564383561643, 8.0, C
7/23/19 6:39:00 AM, 2019, 7, 23, 6, 39, 0, 2019.5569235159817, 8.0, C
7/23/19 10:54:00 AM, 2019, 7, 23, 10, 54, 0, 2019.557408675799, 26.0, C
7/23/19 3:09:00 PM, 2019, 7, 23, 15, 9, 0, 2019.5578938356164, 22.5, C
7/23/19 7:24:00 PM, 2019, 7, 23, 19, 24, 0, 2019.5583789954337, 15.0, C
7/23/19 11:39:00 PM, 2019, 7, 23, 23, 39, 0, 2019.558864155251, 10.5, C
7/24/19 3:54:00 AM, 2019, 7, 24, 3, 54, 0, 2019.5593493150684, 7.5, C
7/24/19 8:09:00 AM, 2019, 7, 24, 8, 9, 0, 2019.5598344748857, 9.5, C
7/24/19 12:24:00 PM, 2019, 7, 24, 12, 24, 0, 2019.560319634703, 14.5, C
7/24/19 4:39:00 PM, 2019, 7, 24, 16, 39, 0, 2019.5608047945204, 15.0, C
7/24/19 8:54:00 PM, 2019, 7, 24, 20, 54, 0, 2019.561289954338, 8.0, C
7/25/19 1:09:00 AM, 2019, 7, 25, 1, 9, 0, 2019.5617751141554, 5.0, C
7/25/19 5:24:00 AM, 2019, 7, 25, 5, 24, 0, 2019.5622602739727, 4.5, C
7/25/19 9:39:00 AM, 2019, 7, 25, 9, 39, 0, 2019.56274543379, 24.5, C
7/25/19 1:54:00 PM, 2019, 7, 25, 13, 54, 0, 2019.5632305936074, 26.5, C
7/25/19 6:09:00 PM, 2019, 7, 25, 18, 9, 0, 2019.5637157534247, 19.0, C
7/25/19 10:24:00 PM, 2019, 7, 25, 22, 24, 0, 2019.564200913242, 10.0, C
7/26/19 2:39:00 AM, 2019, 7, 26, 2, 39, 0, 2019.5646860730594, 7.5, C
7/26/19 6:54:00 AM, 2019, 7, 26, 6, 54, 0, 2019.5651712328768, 8.0, C
7/26/19 11:09:00 AM, 2019, 7, 26, 11, 9, 0, 2019.565656392694, 33.0, C
7/26/19 3:24:00 PM, 2019, 7, 26, 15, 24, 0, 2019.5661415525115, 26.5, C
7/26/19 7:39:00 PM, 2019, 7, 26, 19, 39, 0, 2019.5666267123288, 17.0, C
7/26/19 11:54:00 PM, 2019, 7, 26, 23, 54, 0, 2019.5671118721461, 13.0, C
7/27/19 4:09:00 AM, 2019, 7, 27, 4, 9, 0, 2019.5675970319635, 12.5, C
7/27/19 8:24:00 AM, 2019, 7, 27, 8, 24, 0, 2019.5680821917808, 11.5, C
7/27/19 12:39:00 PM, 2019, 7, 27, 12, 39, 0, 2019.5685673515982, 20.5, C
7/27/19 4:54:00 PM, 2019, 7, 27, 16, 54, 0, 2019.5690525114155, 16.5, C
