1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5B00000053CF1A21
Is Mission Active?  true
Mission Start:  Sat Jul 20 10:38:00 PDT 2019
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2124
Total Samples:  2124
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/20/19 10:38:00 AM,C,19
7/20/19 2:53:00 PM,C,20
7/20/19 7:08:00 PM,C,21
7/20/19 11:23:00 PM,C,21
7/21/19 3:38:00 AM,C,20.5
7/21/19 7:53:00 AM,C,20.5
7/21/19 12:08:00 PM,C,22.5
7/21/19 4:23:00 PM,C,31
7/21/19 8:38:00 PM,C,19
7/22/19 12:53:00 AM,C,13
7/22/19 5:08:00 AM,C,10.5
7/22/19 9:23:00 AM,C,19.5
7/22/19 1:38:00 PM,C,15
7/22/19 5:53:00 PM,C,15.5
7/22/19 10:08:00 PM,C,13
7/23/19 2:23:00 AM,C,11.5
7/23/19 6:38:00 AM,C,10.5
7/23/19 10:53:00 AM,C,13.5
7/23/19 3:08:00 PM,C,15.5
7/23/19 7:23:00 PM,C,14
7/23/19 11:38:00 PM,C,12
7/24/19 3:53:00 AM,C,10.5
7/24/19 8:08:00 AM,C,10
7/24/19 12:23:00 PM,C,11
7/24/19 4:38:00 PM,C,11.5
7/24/19 8:53:00 PM,C,10.5
7/25/19 1:08:00 AM,C,9.5
7/25/19 5:23:00 AM,C,8.5
7/25/19 9:38:00 AM,C,10
7/25/19 1:53:00 PM,C,14.5
7/25/19 6:08:00 PM,C,14
7/25/19 10:23:00 PM,C,12
7/26/19 2:38:00 AM,C,11
7/26/19 6:53:00 AM,C,10.5
7/26/19 11:08:00 AM,C,14.5
7/26/19 3:23:00 PM,C,17.5
7/26/19 7:38:00 PM,C,14
7/26/19 11:53:00 PM,C,13
7/27/19 4:08:00 AM,C,12.5
7/27/19 8:23:00 AM,C,12
7/27/19 12:38:00 PM,C,13.5
7/27/19 4:53:00 PM,C,13
7/27/19 9:08:00 PM,C,12
7/28/19 1:23:00 AM,C,10.5
7/28/19 5:38:00 AM,C,9.5
7/28/19 9:53:00 AM,C,10.5
7/28/19 2:08:00 PM,C,15.5
7/28/19 6:23:00 PM,C,14.5
7/28/19 10:38:00 PM,C,12.5
7/29/19 2:53:00 AM,C,11
7/29/19 7:08:00 AM,C,10.5
7/29/19 11:23:00 AM,C,13.5
7/29/19 3:38:00 PM,C,17.5
7/29/19 7:53:00 PM,C,14
7/30/19 12:08:00 AM,C,12
7/30/19 4:23:00 AM,C,11
7/30/19 8:38:00 AM,C,11
7/30/19 12:53:00 PM,C,13
7/30/19 5:08:00 PM,C,14
7/30/19 9:23:00 PM,C,12
7/31/19 1:38:00 AM,C,11.5
7/31/19 5:53:00 AM,C,11
7/31/19 10:08:00 AM,C,12.5
7/31/19 2:23:00 PM,C,14.5
7/31/19 6:38:00 PM,C,14
7/31/19 10:53:00 PM,C,12.5
8/1/19 3:08:00 AM,C,11
8/1/19 7:23:00 AM,C,11
8/1/19 11:38:00 AM,C,14
8/1/19 3:53:00 PM,C,15.5
8/1/19 8:08:00 PM,C,13
8/2/19 12:23:00 AM,C,12.5
8/2/19 4:38:00 AM,C,12.5
8/2/19 8:53:00 AM,C,12.5
8/2/19 1:08:00 PM,C,14.5
8/2/19 5:23:00 PM,C,15
8/2/19 9:38:00 PM,C,12.5
8/3/19 1:53:00 AM,C,10.5
8/3/19 6:08:00 AM,C,9.5
8/3/19 10:23:00 AM,C,11.5
8/3/19 2:38:00 PM,C,14
8/3/19 6:53:00 PM,C,14
8/3/19 11:08:00 PM,C,12
8/4/19 3:23:00 AM,C,11
8/4/19 7:38:00 AM,C,10.5
8/4/19 11:53:00 AM,C,14.5
8/4/19 4:08:00 PM,C,17
8/4/19 8:23:00 PM,C,14
8/5/19 12:38:00 AM,C,13
8/5/19 4:53:00 AM,C,12.5
8/5/19 9:08:00 AM,C,13
8/5/19 1:23:00 PM,C,16
8/5/19 5:38:00 PM,C,17
8/5/19 9:53:00 PM,C,15
8/6/19 2:08:00 AM,C,13.5
8/6/19 6:23:00 AM,C,12.5
8/6/19 10:38:00 AM,C,15
8/6/19 2:53:00 PM,C,18
8/6/19 7:08:00 PM,C,16
8/6/19 11:23:00 PM,C,14
8/7/19 3:38:00 AM,C,13
8/7/19 7:53:00 AM,C,12.5
8/7/19 12:08:00 PM,C,16
8/7/19 4:23:00 PM,C,18.5
8/7/19 8:38:00 PM,C,15.5
8/8/19 12:53:00 AM,C,14
8/8/19 5:08:00 AM,C,12.5
8/8/19 9:23:00 AM,C,13.5
8/8/19 1:38:00 PM,C,15.5
8/8/19 5:53:00 PM,C,15.5
8/8/19 10:08:00 PM,C,14
8/9/19 2:23:00 AM,C,13
8/9/19 6:38:00 AM,C,12.5
8/9/19 10:53:00 AM,C,13
8/9/19 3:08:00 PM,C,14.5
8/9/19 7:23:00 PM,C,14.5
8/9/19 11:38:00 PM,C,13
8/10/19 3:53:00 AM,C,12.5
8/10/19 8:08:00 AM,C,12
