"Date/Time (PST)","deg F (4210') Mt. Baker - Heather Meadows","deg F (5020') Mt. Baker - Pan Dome"
"2020-07-16 23:00:00",51.45,48.61
"2020-07-16 22:00:00",52.79,49.22
"2020-07-16 21:00:00",53.88,50.02
"2020-07-16 20:00:00",54.96,50.63
"2020-07-16 19:00:00",56.89,52.76
"2020-07-16 18:00:00",58.6,54.23
"2020-07-16 17:00:00",60.04,56
"2020-07-16 16:00:00",59.21,54.78
"2020-07-16 15:00:00",59.54,54.53
"2020-07-16 14:00:00",61.48,55.14
"2020-07-16 13:00:00",60.89,53.55
"2020-07-16 12:00:00",59.21,54.71
"2020-07-16 11:00:00",58.25,53.68
"2020-07-16 10:00:00",55.7,51.3
"2020-07-16 09:00:00",56.93,53.74
"2020-07-16 08:00:00",54.86,51.12
"2020-07-16 07:00:00",54.13,50.63
"2020-07-16 06:00:00",53.41,50.38
"2020-07-16 05:00:00",53.28,51.66
"2020-07-16 04:00:00",53.76,52.26
"2020-07-16 03:00:00",55.13,55.07
"2020-07-16 02:00:00",53.18,55.49
"2020-07-16 01:00:00",53.79,54.64
"2020-07-16 00:00:00",52.57,54.58
"2020-07-15 23:00:00",53.3,53.29
"2020-07-15 22:00:00",55.35,53.36
"2020-07-15 21:00:00",57.05,55.06
"2020-07-15 20:00:00",59.69,60.86
"2020-07-15 19:00:00",62.34,63.3
"2020-07-15 18:00:00",66.35,60.07
"2020-07-15 17:00:00",66.68,61.29
"2020-07-15 16:00:00",66.93,61.84
"2020-07-15 15:00:00",65.6,63.61
"2020-07-15 14:00:00",67.32,60.19
"2020-07-15 13:00:00",63.8,58.31
"2020-07-15 12:00:00",63.19,58.5
"2020-07-15 11:00:00",62.61,57.7
"2020-07-15 10:00:00",61.64,58.86
"2020-07-15 09:00:00",62.75,59.06
"2020-07-15 08:00:00",59.36,60.47
"2020-07-15 07:00:00",56.35,56.92
"2020-07-15 06:00:00",53.19,54.23
"2020-07-15 05:00:00",51.12,52.82
"2020-07-15 04:00:00",51.97,52.27
"2020-07-15 03:00:00",50.39,51.72
"2020-07-15 02:00:00",49.66,52.21
"2020-07-15 01:00:00",50.27,51.3
"2020-07-15 00:00:00",50.76,50.38
"2020-07-14 23:00:00",51.11,50.87
"2020-07-14 22:00:00",53.17,51.23
"2020-07-14 21:00:00",54.98,52.08
"2020-07-14 20:00:00",57.52,56.12
"2020-07-14 19:00:00",59.9,58.13
"2020-07-14 18:00:00",63.93,59.84
"2020-07-14 17:00:00",62.46,59.23
"2020-07-14 16:00:00",65.13,60.39
"2020-07-14 15:00:00",64.53,60.02
"2020-07-14 14:00:00",63.19,58.5
"2020-07-14 13:00:00",64.4,59.54
"2020-07-14 12:00:00",60.54,60.9
"2020-07-14 11:00:00",57.29,57.55
"2020-07-14 10:00:00",56.32,55.36
"2020-07-14 09:00:00",56.83,55.54
"2020-07-14 08:00:00",52.71,52.43
"2020-07-14 07:00:00",50.29,50.6
"2020-07-14 06:00:00",44.57,49.13
"2020-07-14 05:00:00",44.08,46.5
"2020-07-14 04:00:00",44.68,46.2
"2020-07-14 03:00:00",44.2,46.2
"2020-07-14 02:00:00",44.32,45.96
"2020-07-14 01:00:00",46.26,44.55
"2020-07-14 00:00:00",47.12,44.43
"2020-07-13 23:00:00",46.63,45.16
"2020-07-13 22:00:00",48.8,45.88
"2020-07-13 21:00:00",50.5,47.89
"2020-07-13 20:00:00",52.54,50.16
"2020-07-13 19:00:00",53.26,50.46
"2020-07-13 18:00:00",57.88,53.94
"2020-07-13 17:00:00",55.43,53.64
"2020-07-13 16:00:00",60.18,55.23
"2020-07-13 15:00:00",58.23,53.46
"2020-07-13 14:00:00",58.11,52.61
"2020-07-13 13:00:00",55.69,50.66
"2020-07-13 12:00:00",53.62,49.51
"2020-07-13 11:00:00",52.09,50.31
"2020-07-13 10:00:00",50.14,46.46
"2020-07-13 09:00:00",49.53,43.66
"2020-07-13 08:00:00",48.22,41.77
"2020-07-13 07:00:00",45.78,40.55
"2020-07-13 06:00:00",42.49,39.87
"2020-07-13 05:00:00",42.37,40.11
"2020-07-13 04:00:00",42.86,39.62
"2020-07-13 03:00:00",42.98,40.11
"2020-07-13 02:00:00",42.27,40.11
"2020-07-13 01:00:00",42.86,39.5
"2020-07-13 00:00:00",43.22,41.09
"2020-07-12 23:00:00",43.59,41.45
"2020-07-12 22:00:00",44.32,42.43
"2020-07-12 21:00:00",44.2,42.43
"2020-07-12 20:00:00",46.37,43.41
"2020-07-12 19:00:00",47.82,42.43
"2020-07-12 18:00:00",48.07,42.92
"2020-07-12 17:00:00",48.9,43.29
"2020-07-12 16:00:00",48.43,42.81
"2020-07-12 15:00:00",47.92,42.14
"2020-07-12 14:00:00",49.15,42.2
"2020-07-12 13:00:00",48.31,42.02
"2020-07-12 12:00:00",46.37,41.16
"2020-07-12 11:00:00",46.38,41.28
"2020-07-12 10:00:00",45.54,41.28
"2020-07-12 09:00:00",45.89,41.77
"2020-07-12 08:00:00",46.51,41.34
"2020-07-12 07:00:00",44.68,40.85
"2020-07-12 06:00:00",43.71,40.61
"2020-07-12 05:00:00",45.42,39.82
"2020-07-12 04:00:00",44.32,41.71
"2020-07-12 03:00:00",44.81,42.26
"2020-07-12 02:00:00",44.68,41.95
"2020-07-12 01:00:00",44.81,42.38
"2020-07-12 00:00:00",45.05,42.14
"2020-07-11 23:00:00",45.05,42.32
"2020-07-11 22:00:00",45.17,42.74
"2020-07-11 21:00:00",45.64,42
"2020-07-11 20:00:00",47.83,43.65
