1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 080000005699AE21
Is Mission Active?  false
Mission Start:  Sun Jul 18 17:46:00 CEST 2021
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2074
Total Samples:  2074
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/18/21, 5:46:00 PM,C,21.5
7/18/21, 10:01:00 PM,C,21.5
7/19/21, 2:16:00 AM,C,21.5
7/19/21, 6:31:00 AM,C,21.5
7/19/21, 10:46:00 AM,C,39
7/19/21, 3:01:00 PM,C,31
7/19/21, 7:16:00 PM,C,30.5
7/19/21, 11:31:00 PM,C,18.5
7/20/21, 3:46:00 AM,C,14
7/20/21, 8:01:00 AM,C,11
7/20/21, 12:16:00 PM,C,23.5
7/20/21, 4:31:00 PM,C,16.5
7/20/21, 8:46:00 PM,C,9.5
7/21/21, 1:01:00 AM,C,10.5
7/21/21, 5:16:00 AM,C,9
7/21/21, 9:31:00 AM,C,12
7/21/21, 1:46:00 PM,C,13.5
7/21/21, 6:01:00 PM,C,11.5
7/21/21, 10:16:00 PM,C,7.5
7/22/21, 2:31:00 AM,C,5.5
7/22/21, 6:46:00 AM,C,2.5
7/22/21, 11:01:00 AM,C,23.5
7/22/21, 3:16:00 PM,C,17.5
7/22/21, 7:31:00 PM,C,11
7/22/21, 11:46:00 PM,C,5.5
7/23/21, 4:01:00 AM,C,5.5
7/23/21, 8:16:00 AM,C,12.5
7/23/21, 12:31:00 PM,C,28
7/23/21, 4:46:00 PM,C,21.5
7/23/21, 9:01:00 PM,C,10.5
7/24/21, 1:16:00 AM,C,7
7/24/21, 5:31:00 AM,C,6
7/24/21, 9:46:00 AM,C,19
7/24/21, 2:01:00 PM,C,26.5
7/24/21, 6:16:00 PM,C,19.5
7/24/21, 10:31:00 PM,C,10.5
7/25/21, 2:46:00 AM,C,7.5
7/25/21, 7:01:00 AM,C,8
7/25/21, 11:16:00 AM,C,30.5
7/25/21, 3:31:00 PM,C,23
7/25/21, 7:46:00 PM,C,16.5
7/26/21, 12:01:00 AM,C,8.5
7/26/21, 4:16:00 AM,C,6.5
7/26/21, 8:31:00 AM,C,14
7/26/21, 12:46:00 PM,C,32
7/26/21, 5:01:00 PM,C,25
7/26/21, 9:16:00 PM,C,11.5
7/27/21, 1:31:00 AM,C,8
7/27/21, 5:46:00 AM,C,6.5
7/27/21, 10:01:00 AM,C,19
7/27/21, 2:16:00 PM,C,27.5
7/27/21, 6:31:00 PM,C,19.5
7/27/21, 10:46:00 PM,C,10.5
7/28/21, 3:01:00 AM,C,8
7/28/21, 7:16:00 AM,C,8.5
7/28/21, 11:31:00 AM,C,32.5
7/28/21, 3:46:00 PM,C,28.5
7/28/21, 8:01:00 PM,C,15
7/29/21, 12:16:00 AM,C,9.5
7/29/21, 4:31:00 AM,C,7
7/29/21, 8:46:00 AM,C,16
7/29/21, 1:01:00 PM,C,36
7/29/21, 5:16:00 PM,C,29.5
7/29/21, 9:31:00 PM,C,13
7/30/21, 1:46:00 AM,C,10
7/30/21, 6:01:00 AM,C,9.5
7/30/21, 10:16:00 AM,C,25.5
7/30/21, 2:31:00 PM,C,35
