1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: CB0000005699CE21
Is Mission Active?  false
Mission Start:  Sun Jul 18 17:47:00 CEST 2021
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2074
Total Samples:  2074
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/18/21, 5:47:00 PM,C,22
7/18/21, 10:02:00 PM,C,21.5
7/19/21, 2:17:00 AM,C,21.5
7/19/21, 6:32:00 AM,C,21.5
7/19/21, 10:47:00 AM,C,34
7/19/21, 3:02:00 PM,C,30
7/19/21, 7:17:00 PM,C,30.5
7/19/21, 11:32:00 PM,C,18.5
7/20/21, 3:47:00 AM,C,14
7/20/21, 8:02:00 AM,C,11.5
7/20/21, 12:17:00 PM,C,22
7/20/21, 4:32:00 PM,C,16.5
7/20/21, 8:47:00 PM,C,10
7/21/21, 1:02:00 AM,C,10.5
7/21/21, 5:17:00 AM,C,9
7/21/21, 9:32:00 AM,C,12
7/21/21, 1:47:00 PM,C,13.5
7/21/21, 6:02:00 PM,C,11.5
7/21/21, 10:17:00 PM,C,8
7/22/21, 2:32:00 AM,C,6
7/22/21, 6:47:00 AM,C,3.5
7/22/21, 11:02:00 AM,C,21
7/22/21, 3:17:00 PM,C,17.5
7/22/21, 7:32:00 PM,C,12
7/22/21, 11:47:00 PM,C,6.5
7/23/21, 4:02:00 AM,C,6
7/23/21, 8:17:00 AM,C,13
7/23/21, 12:32:00 PM,C,26
7/23/21, 4:47:00 PM,C,21.5
7/23/21, 9:02:00 PM,C,11.5
7/24/21, 1:17:00 AM,C,8.5
7/24/21, 5:32:00 AM,C,7.5
7/24/21, 9:47:00 AM,C,19
7/24/21, 2:02:00 PM,C,26
7/24/21, 6:17:00 PM,C,20
7/24/21, 10:32:00 PM,C,12
7/25/21, 2:47:00 AM,C,9
7/25/21, 7:02:00 AM,C,9
7/25/21, 11:17:00 AM,C,29.5
7/25/21, 3:32:00 PM,C,22.5
7/25/21, 7:47:00 PM,C,17
7/26/21, 12:02:00 AM,C,10
7/26/21, 4:17:00 AM,C,8
7/26/21, 8:32:00 AM,C,15.5
7/26/21, 12:47:00 PM,C,29
7/26/21, 5:02:00 PM,C,24.5
7/26/21, 9:17:00 PM,C,12.5
7/27/21, 1:32:00 AM,C,9
7/27/21, 5:47:00 AM,C,8.5
7/27/21, 10:02:00 AM,C,20
7/27/21, 2:17:00 PM,C,26.5
7/27/21, 6:32:00 PM,C,20
7/27/21, 10:47:00 PM,C,12
7/28/21, 3:02:00 AM,C,9.5
7/28/21, 7:17:00 AM,C,10
7/28/21, 11:32:00 AM,C,31.5
7/28/21, 3:47:00 PM,C,28.5
7/28/21, 8:02:00 PM,C,16
7/29/21, 12:17:00 AM,C,11
7/29/21, 4:32:00 AM,C,9
7/29/21, 8:47:00 AM,C,17.5
7/29/21, 1:02:00 PM,C,30
7/29/21, 5:17:00 PM,C,30
7/29/21, 9:32:00 PM,C,14.5
7/30/21, 1:47:00 AM,C,12
7/30/21, 6:02:00 AM,C,11.5
7/30/21, 10:17:00 AM,C,30.5
7/30/21, 2:32:00 PM,C,34.5
7/30/21, 6:47:00 PM,C,24
7/30/21, 11:02:00 PM,C,17
7/31/21, 3:17:00 AM,C,17
7/31/21, 7:32:00 AM,C,21
7/31/21, 11:47:00 AM,C,28
7/31/21, 4:02:00 PM,C,27
7/31/21, 8:17:00 PM,C,20
8/1/21, 12:32:00 AM,C,19
8/1/21, 4:47:00 AM,C,17.5
8/1/21, 9:02:00 AM,C,16.5
8/1/21, 1:17:00 PM,C,26.5
8/1/21, 5:32:00 PM,C,25
8/1/21, 9:47:00 PM,C,15
8/2/21, 2:02:00 AM,C,13
8/2/21, 6:17:00 AM,C,12
8/2/21, 10:32:00 AM,C,22.5
8/2/21, 2:47:00 PM,C,29.5
8/2/21, 7:02:00 PM,C,21.5
8/2/21, 11:17:00 PM,C,13
8/3/21, 3:32:00 AM,C,11.5
8/3/21, 7:47:00 AM,C,16
8/3/21, 12:02:00 PM,C,34.5
8/3/21, 4:17:00 PM,C,30.5
8/3/21, 8:32:00 PM,C,19
8/4/21, 12:47:00 AM,C,12.5
8/4/21, 5:02:00 AM,C,10.5
8/4/21, 9:17:00 AM,C,20
8/4/21, 1:32:00 PM,C,29
8/4/21, 5:47:00 PM,C,27.5
8/4/21, 10:02:00 PM,C,14
8/5/21, 2:17:00 AM,C,11
8/5/21, 6:32:00 AM,C,10
8/5/21, 10:47:00 AM,C,25
8/5/21, 3:02:00 PM,C,25.5
8/5/21, 7:17:00 PM,C,19
8/5/21, 11:32:00 PM,C,15.5
8/6/21, 3:47:00 AM,C,14
8/6/21, 8:02:00 AM,C,14
8/6/21, 12:17:00 PM,C,21.5
8/6/21, 4:32:00 PM,C,20
8/6/21, 8:47:00 PM,C,13
8/7/21, 1:02:00 AM,C,11
8/7/21, 5:17:00 AM,C,9.5
8/7/21, 9:32:00 AM,C,11.5
8/7/21, 1:47:00 PM,C,14.5
8/7/21, 6:02:00 PM,C,14
8/7/21, 10:17:00 PM,C,8.5
8/8/21, 2:32:00 AM,C,6.5
8/8/21, 6:47:00 AM,C,7.5
8/8/21, 11:02:00 AM,C,9.5
8/8/21, 3:17:00 PM,C,11
8/8/21, 7:32:00 PM,C,10.5
8/8/21, 11:47:00 PM,C,9
8/9/21, 4:02:00 AM,C,9
8/9/21, 8:17:00 AM,C,12.5
8/9/21, 12:32:00 PM,C,18
8/9/21, 4:47:00 PM,C,17.5
8/9/21, 9:02:00 PM,C,11
8/10/21, 1:17:00 AM,C,9
8/10/21, 5:32:00 AM,C,9.5
8/10/21, 9:47:00 AM,C,17.5
8/10/21, 2:02:00 PM,C,24.5
8/10/21, 6:17:00 PM,C,19
8/10/21, 10:32:00 PM,C,13.5
8/11/21, 2:47:00 AM,C,11.5
8/11/21, 7:02:00 AM,C,11.5
8/11/21, 11:17:00 AM,C,33
8/11/21, 3:32:00 PM,C,29.5
8/11/21, 7:47:00 PM,C,19
8/12/21, 12:02:00 AM,C,14.5
8/12/21, 4:17:00 AM,C,14
8/12/21, 8:32:00 AM,C,18.5
8/12/21, 12:47:00 PM,C,33.5
8/12/21, 5:02:00 PM,C,32.5
8/12/21, 9:17:00 PM,C,17
8/13/21, 1:32:00 AM,C,13.5
8/13/21, 5:47:00 AM,C,13
8/13/21, 10:02:00 AM,C,27
8/13/21, 2:17:00 PM,C,33.5
8/13/21, 6:32:00 PM,C,24
8/13/21, 10:47:00 PM,C,15.5
8/14/21, 3:02:00 AM,C,13
8/14/21, 7:17:00 AM,C,13.5
8/14/21, 11:32:00 AM,C,31
