iButton #,Site #,Lat,Long,,Details,Collection Notes,Altitude (meters)
1,1,48 42.350 N,121 49.470 W,"48°42'21.0""N 121°49'28.2""W",Tree (shaded),,1066
2,1,48 42.350 N,121 49.480 W,"48°42'21.0""N 121°49'28.8""W",Tree (exposed),,1067
3,1,48 42.350 N,121 49.480 W,"48°42'21.0""N 121°49'28.8""W",Buried,,1067
4,2,48 42.850 N,121 49.867 W,"48°42'51.0""N 121°49'52.0""W",Tree (shaded),,1182
5,2,48 42.850 N,121 49.867 W,"48°42'51.0""N 121°49'52.0""W",Buried,,1182
6,3,48 43.033 N,121 50.050 W,"48°43'02.0""N 121°50'03.0""W",Tree (shaded),,1341
7,3,48 43.033 N,121 50.050 W,"48°43'02.0""N 121°50'03.0""W",Buried,,1341
8,4,48 43.300 N,121 50.367 W,"48°43'18.0""N 121°50'22.0""W",Buried,,1472
9,5,48 44.017 N,121 50.483 W,"48°44'01.0""N 121°50'29.0""W",Buried,,1682
10,5,48 44.017 N,121 50.483 W,"48°44'01.0""N 121°50'29.0""W",Buried,,1682
11,5,48 44.021 N,121 50.473 W,"48°44'01.3""N 121°50'28.4""W",Buried,,1679
12,6,48 44.333 N,121 50.500 W,"48°44'20.0""N 121°50'30.0""W",Buried,,1792
13,,,,,,,
14,7,48 44 59 N,121 50 24 W,"48°44'59.0""N 121°50'24.0""W",Buried,,2058
15,8,48 46 10 N,121 49 12 W,"48°46'10.0""N 121°49'12.0""W",Buried,,2962
16,9,48 46 36 N,121 48 52 W,"48°46'36.0""N 121°48'52.0""W",Buried,,3203
