Washington (PST) SNOTEL Site Elbow Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 26 11:27:33 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.,,,
,,,
Site Id,Date,Time,SNWD.I-1 (in) 
910,1/1/2022,,55
910,1/2/2022,,52
910,1/3/2022,,59
910,1/4/2022,,63
910,1/5/2022,,67
910,1/6/2022,,68
910,1/7/2022,,66
910,1/8/2022,,61
910,1/9/2022,,60
910,1/10/2022,,59
910,1/11/2022,,60
910,1/12/2022,,51
910,1/13/2022,,53
910,1/14/2022,,51
910,1/15/2022,,51
910,1/16/2022,,51
910,1/17/2022,,50
910,1/18/2022,,48
910,1/19/2022,,46
910,1/20/2022,,46
910,1/21/2022,,44
910,1/22/2022,,44
910,1/23/2022,,44
910,1/24/2022,,44
910,1/25/2022,,44
910,1/26/2022,,43
910,1/27/2022,,43
910,1/28/2022,,43
910,1/29/2022,,43
910,1/30/2022,,42
910,1/31/2022,,43
910,2/1/2022,,47
910,2/2/2022,,48
910,2/3/2022,,49
910,2/4/2022,,51
910,2/5/2022,,53
910,2/6/2022,,52
910,2/7/2022,,51
910,2/8/2022,,51
910,2/9/2022,,50
910,2/10/2022,,48
910,2/11/2022,,49
910,2/12/2022,,49
910,2/13/2022,,48
910,2/14/2022,,48
910,2/15/2022,,48
910,2/16/2022,,48
910,2/17/2022,,49
910,2/18/2022,,49
910,2/19/2022,,48
910,2/20/2022,,55
910,2/21/2022,,57
910,2/22/2022,,55
910,2/23/2022,,57
910,2/24/2022,,57
910,2/25/2022,,57
910,2/26/2022,,57
910,2/27/2022,,58
910,2/28/2022,,60
910,3/1/2022,,58
910,3/2/2022,,57
910,3/3/2022,,57
910,3/4/2022,,56
910,3/5/2022,,55
910,3/6/2022,,55
910,3/7/2022,,55
910,3/8/2022,,55
910,3/9/2022,,55
910,3/10/2022,,54
910,3/11/2022,,55
910,3/12/2022,,54
910,3/13/2022,,56
910,3/14/2022,,55
910,3/15/2022,,59
910,3/16/2022,,62
910,3/17/2022,,62
910,3/18/2022,,66
910,3/19/2022,,63
910,3/20/2022,,66
910,3/21/2022,,77
910,3/22/2022,,78
910,3/23/2022,,71
910,3/24/2022,,68
910,3/25/2022,,68
910,3/26/2022,,66
910,3/27/2022,,65
910,3/28/2022,,63
910,3/29/2022,,62
910,3/30/2022,,60
910,3/31/2022,,60
910,4/1/2022,,60
910,4/2/2022,,59
910,4/3/2022,,60
910,4/4/2022,,63
910,4/5/2022,,72
910,4/6/2022,,93
910,4/7/2022,,87
910,4/8/2022,,78
910,4/9/2022,,76
910,4/10/2022,,75
910,4/11/2022,,77
910,4/12/2022,,76
910,4/13/2022,,78
910,4/14/2022,,76
910,4/15/2022,,75
910,4/16/2022,,75
910,4/17/2022,,72
910,4/18/2022,,74
910,4/19/2022,,78
910,4/20/2022,,77
910,4/21/2022,,76
910,4/22/2022,,75
910,4/23/2022,,74
910,4/24/2022,,72
910,4/25/2022,,70
910,4/26/2022,,68
910,4/27/2022,,69
910,4/28/2022,,69
910,4/29/2022,,68
910,4/30/2022,,68
910,5/1/2022,,66
910,5/2/2022,,65
910,5/3/2022,,63
910,5/4/2022,,63
910,5/5/2022,,61
910,5/6/2022,,60
910,5/7/2022,,60
910,5/8/2022,,59
910,5/9/2022,,59
910,5/10/2022,,59
910,5/11/2022,,58
910,5/12/2022,,56
910,5/13/2022,,56
910,5/14/2022,,56
910,5/15/2022,,54
910,5/16/2022,,53
910,5/17/2022,,52
910,5/18/2022,,51
910,5/19/2022,,48
910,5/20/2022,,50
910,5/21/2022,,49
910,5/22/2022,,47
910,5/23/2022,,45
910,5/24/2022,,43
910,5/25/2022,,42
910,5/26/2022,,40
910,5/27/2022,,37
910,5/28/2022,,36
910,5/29/2022,,34
910,5/30/2022,,32
910,5/31/2022,,32
910,6/1/2022,,28
910,6/2/2022,,23
910,6/3/2022,,21
910,6/4/2022,,18
910,6/5/2022,,14
910,6/6/2022,,13
910,6/7/2022,,11
910,6/8/2022,,8
910,6/9/2022,,6
910,6/10/2022,,0
910,6/11/2022,,0
910,6/12/2022,,0
910,6/13/2022,,0
910,6/14/2022,,0
910,6/15/2022,,0
910,6/16/2022,,0
910,6/17/2022,,0
910,6/18/2022,,0
910,6/19/2022,,0
910,6/20/2022,,0
910,6/21/2022,,0
910,6/22/2022,,0
910,6/23/2022,,0
910,6/24/2022,,0
910,6/25/2022,,0
910,6/26/2022,,0
910,6/27/2022,,0
910,6/28/2022,,0
910,6/29/2022,,0
910,6/30/2022,,0
910,7/1/2022,,0
910,7/2/2022,,0
910,7/3/2022,,0
910,7/4/2022,,0
910,7/5/2022,,0
910,7/6/2022,,0
910,7/7/2022,,0
910,7/8/2022,,0
910,7/9/2022,,0
910,7/10/2022,,0
910,7/11/2022,,0
910,7/12/2022,,0
910,7/13/2022,,0
910,7/14/2022,,0
910,7/15/2022,,0
910,7/16/2022,,0
910,7/17/2022,,0
910,7/18/2022,,0
910,7/19/2022,,0
910,7/20/2022,,0
910,7/21/2022,,0
910,7/22/2022,,0
910,7/23/2022,,0
910,7/24/2022,,0
910,7/25/2022,,0
910,7/26/2022,,0
910,7/27/2022,,0
910,7/28/2022,,0
910,7/29/2022,,0
910,7/30/2022,,0
910,7/31/2022,,0
910,8/1/2022,,0
910,8/2/2022,,0
910,8/3/2022,,0
910,8/4/2022,,0
910,8/5/2022,,0
910,8/6/2022,,0
910,8/7/2022,,0
910,8/8/2022,,0
910,8/9/2022,,0
910,8/10/2022,,0
910,8/11/2022,,0
910,8/12/2022,,0
910,8/13/2022,,0
910,8/14/2022,,0
910,8/15/2022,,0
910,8/16/2022,,0
910,8/17/2022,,0
910,8/18/2022,,0
910,8/19/2022,,0
910,8/20/2022,,0
910,8/21/2022,,0
