Washington (PST) SNOTEL Site Marten Ridge - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 26 08:48:52 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.,,,,,,,
,,,,,,,
Site Id,Date,Time,SNWD.I-1 (in) ,,,,
999,1/1/2022,,70,,,,
999,1/2/2022,,67,,,,
999,1/3/2022,,82,,,,
999,1/4/2022,,89,,,,
999,1/5/2022,,94,,,,
999,1/6/2022,,92,,,,
999,1/7/2022,,96,,,,
999,1/8/2022,,98,,,,
999,1/9/2022,,97,,,,
999,1/10/2022,,93,,,,
999,1/11/2022,,91,,,,
999,1/12/2022,,86,,,,
999,1/13/2022,,77,,,,
999,1/14/2022,,77,,,,
999,1/15/2022,,76,,,,
999,1/16/2022,,76,,,,
999,1/17/2022,,74,,,,
999,1/18/2022,,72,,,,
999,1/19/2022,,72,,,,
999,1/20/2022,,71,,,,
999,1/21/2022,,68,,,,
999,1/22/2022,,68,,,,
999,1/23/2022,,69,,,,
999,1/24/2022,,69,,,,
999,1/25/2022,,69,,,,
999,1/26/2022,,68,,,,
999,1/27/2022,,68,,,,
999,1/28/2022,,68,,,,
999,1/29/2022,,67,,,,
999,1/30/2022,,65,,,,
999,1/31/2022,,70,,,,
999,2/1/2022,,74,,,,
999,2/2/2022,,75,,,,
999,2/3/2022,,77,,,,
999,2/4/2022,,81,,,,
999,2/5/2022,,86,,,,
999,2/6/2022,,85,,,,
999,2/7/2022,,84,,,,
999,2/8/2022,,83,,,,
999,2/9/2022,,83,,,,
999,2/10/2022,,82,,,,
999,2/11/2022,,80,,,,
999,2/12/2022,,80,,,,
999,2/13/2022,,80,,,,
999,2/14/2022,,79,,,,
999,2/15/2022,,79,,,,
999,2/16/2022,,80,,,,
999,2/17/2022,,80,,,,
999,2/18/2022,,80,,,,
999,2/19/2022,,81,,,,
999,2/20/2022,,88,,,,
999,2/21/2022,,93,,,,
999,2/22/2022,,92,,,,
999,2/23/2022,,91,,,,
999,2/24/2022,,88,,,,
999,2/25/2022,,90,,,,
999,2/26/2022,,89,,,,
999,2/27/2022,,93,,,,
999,2/28/2022,,96,,,,
999,3/1/2022,,99,,,,
999,3/2/2022,,96,,,,
999,3/3/2022,,95,,,,
999,3/4/2022,,95,,,,
999,3/5/2022,,95,,,,
999,3/6/2022,,94,,,,
999,3/7/2022,,94,,,,
999,3/8/2022,,94,,,,
999,3/9/2022,,94,,,,
999,3/10/2022,,94,,,,
999,3/11/2022,,93,,,,
999,3/12/2022,,94,,,,
999,3/13/2022,,96,,,,
999,3/14/2022,,91,,,,
999,3/15/2022,,103,,,,
999,3/16/2022,,110,,,,
999,3/17/2022,,108,,,,
999,3/18/2022,,114,,,,
999,3/19/2022,,112,,,,
999,3/20/2022,,116,,,,
999,3/21/2022,,125,,,,
999,3/22/2022,,124,,,,
999,3/23/2022,,115,,,,
999,3/24/2022,,111,,,,
999,3/25/2022,,110,,,,
999,3/26/2022,,108,,,,
999,3/27/2022,,107,,,,
999,3/28/2022,,104,,,,
999,3/29/2022,,103,,,,
999,3/30/2022,,101,,,,
999,3/31/2022,,101,,,,
999,4/1/2022,,102,,,,
999,4/2/2022,,102,,,,
999,4/3/2022,,102,,,,
999,4/4/2022,,120,,,,
999,4/5/2022,,132,,,,
999,4/6/2022,,153,,,,
999,4/7/2022,,143,,,,
999,4/8/2022,,134,,,,
